dataset,model,context_type,context_value,n_samples,accuracy,macro_f1
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,8,34,0.7352941176470589,0.7221861471861472
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,9,29,0.9655172413793104,0.9664335664335665
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,10,29,0.8275862068965517,0.8217948717948719
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,11,37,0.8918918918918919,0.8961344537815126
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,12,19,0.8421052631578947,0.8406349206349206
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,13,24,1.0,1.0
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,14,28,0.8928571428571429,0.8926961926961926
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,15,34,0.9411764705882353,0.937948717948718
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,16,38,0.9210526315789473,0.9149321266968327
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,17,24,0.9166666666666666,0.9155555555555555
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,18,34,0.9117647058823529,0.9128621378621379
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,19,34,0.9411764705882353,0.9405128205128206
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,20,28,0.9285714285714286,0.9192307692307693
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,21,24,0.9583333333333334,0.9595959595959596
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,22,20,0.95,0.9492063492063492
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,23,10,0.7,0.6266666666666666
long_qualifying_2018_2025_top5,hybrid_cnn_tabular,round,24,9,0.7777777777777778,0.6533333333333333
long_qualifying_2018_2025_top5,lstm,round,1,37,0.24324324324324326,0.2141467727674624
long_qualifying_2018_2025_top5,lstm,round,2,33,0.42424242424242425,0.3980859010270775
long_qualifying_2018_2025_top5,lstm,round,3,29,0.27586206896551724,0.24294068504594818
long_qualifying_2018_2025_top5,lstm,round,4,34,0.35294117647058826,0.3622236586942469
long_qualifying_2018_2025_top5,lstm,round,5,38,0.34210526315789475,0.315153452685422
long_qualifying_2018_2025_top5,lstm,round,6,38,0.2631578947368421,0.22664224664224664
long_qualifying_2018_2025_top5,lstm,round,7,34,0.35294117647058826,0.3183304414883362
long_qualifying_2018_2025_top5,lstm,round,8,34,0.29411764705882354,0.2833155080213904
long_qualifying_2018_2025_top5,lstm,round,9,29,0.2413793103448276,0.1987301587301587
long_qualifying_2018_2025_top5,lstm,round,10,29,0.27586206896551724,0.2662237762237762
long_qualifying_2018_2025_top5,lstm,round,11,37,0.40540540540540543,0.4149816849816849
long_qualifying_2018_2025_top5,lstm,round,12,19,0.2631578947368421,0.22380952380952382
long_qualifying_2018_2025_top5,lstm,round,13,24,0.2916666666666667,0.2715873015873016
long_qualifying_2018_2025_top5,lstm,round,14,28,0.42857142857142855,0.39887955182072826
long_qualifying_2018_2025_top5,lstm,round,15,34,0.4411764705882353,0.3907843137254902
long_qualifying_2018_2025_top5,lstm,round,16,38,0.39473684210526316,0.40391713549608294
long_qualifying_2018_2025_top5,lstm,round,17,24,0.3333333333333333,0.34303030303030296
long_qualifying_2018_2025_top5,lstm,round,18,34,0.20588235294117646,0.20047619047619047
long_qualifying_2018_2025_top5,lstm,round,19,34,0.4117647058823529,0.4238961038961039
long_qualifying_2018_2025_top5,lstm,round,20,28,0.2857142857142857,0.2741235888294712
long_qualifying_2018_2025_top5,lstm,round,21,24,0.3333333333333333,0.3416161616161616
long_qualifying_2018_2025_top5,lstm,round,22,20,0.35,0.2871428571428571
long_qualifying_2018_2025_top5,lstm,round,23,10,0.3,0.26
long_qualifying_2018_2025_top5,lstm,round,24,9,0.1111111111111111,0.05
race_2025_clean_laps_top5,cnn,season,2025,4334,0.8497923396400554,0.8499692222215847
race_2025_clean_laps_top5,gru,season,2025,4334,0.5752191970466082,0.5863949344232947
race_2025_clean_laps_top5,hybrid_cnn_tabular,season,2025,4334,0.8527918781725888,0.8524259154561872
race_2025_clean_laps_top5,lstm,season,2025,4334,0.3555606829718505,0.3162368283190376
race_2025_clean_laps_top5,cnn,round,2,251,0.9442231075697212,0.9430277409763448
race_2025_clean_laps_top5,cnn,round,3,249,0.963855421686747,0.9637892697532088
race_2025_clean_laps_top5,cnn,round,4,230,0.808695652173913,0.8011327125751958
race_2025_clean_laps_top5,cnn,round,5,225,0.8266666666666667,0.8226272093857625
race_2025_clean_laps_top5,cnn,round,7,220,0.9590909090909091,0.946460778153287
race_2025_clean_laps_top5,cnn,round,8,289,0.44982698961937717,0.40128458358059876
race_2025_clean_laps_top5,cnn,round,9,271,0.8228782287822878,0.8241666688140828
race_2025_clean_laps_top5,cnn,round,11,184,0.5217391304347826,0.4776929664289269
race_2025_clean_laps_top5,cnn,round,14,319,0.9278996865203761,0.929193894287112
race_2025_clean_laps_top5,cnn,round,15,220,0.9363636363636364,0.9138873914345613
race_2025_clean_laps_top5,cnn,round,16,243,0.9465020576131687,0.9457525032484904
race_2025_clean_laps_top5,cnn,round,17,204,0.8480392156862745,0.8373522662076878
race_2025_clean_laps_top5,cnn,round,19,194,0.8711340206185567,0.882763696033216
race_2025_clean_laps_top5,cnn,round,20,307,0.8078175895765473,0.7625642144914042
race_2025_clean_laps_top5,cnn,round,21,198,0.9747474747474747,0.783181493556901
race_2025_clean_laps_top5,cnn,round,22,211,0.9241706161137441,0.9226800543083578
race_2025_clean_laps_top5,cnn,round,23,249,0.8072289156626506,0.7595822167250739
race_2025_clean_laps_top5,cnn,round,24,270,0.9740740740740741,0.973944163944164
race_2025_clean_laps_top5,gru,round,2,251,0.6454183266932271,0.6268533958846894
race_2025_clean_laps_top5,gru,round,3,249,0.3654618473895582,0.2923855092276145
race_2025_clean_laps_top5,gru,round,4,230,0.24782608695652175,0.13607801349736834
race_2025_clean_laps_top5,gru,round,5,225,0.1511111111111111,0.10089734554850834
race_2025_clean_laps_top5,gru,round,7,220,0.7545454545454545,0.7129337781008255
race_2025_clean_laps_top5,gru,round,8,289,0.6643598615916955,0.6596969681785003
race_2025_clean_laps_top5,gru,round,9,271,0.3985239852398524,0.30129913710450623
race_2025_clean_laps_top5,gru,round,11,184,0.4945652173913043,0.27733042283127174
race_2025_clean_laps_top5,gru,round,14,319,0.8652037617554859,0.8608760581662736
race_2025_clean_laps_top5,gru,round,15,220,0.7727272727272727,0.7022359229255781
race_2025_clean_laps_top5,gru,round,16,243,0.48559670781893005,0.4493871042007086
race_2025_clean_laps_top5,gru,round,17,204,0.75,0.6938089428476513
race_2025_clean_laps_top5,gru,round,19,194,0.5567010309278351,0.5244666660846435
race_2025_clean_laps_top5,gru,round,20,307,0.5635179153094463,0.5811310670156502
race_2025_clean_laps_top5,gru,round,21,198,0.9191919191919192,0.7091251410703249
race_2025_clean_laps_top5,gru,round,22,211,0.6682464454976303,0.6417340829105534
race_2025_clean_laps_top5,gru,round,23,249,0.5100401606425703,0.448358306722345
race_2025_clean_laps_top5,gru,round,24,270,0.5333333333333333,0.5308518890517038
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,2,251,0.9402390438247012,0.9400307050158945
