dataset,fold,feature_family,n_features,importance_macro_f1_drop_mean,importance_macro_f1_drop_std
long_qualifying_2018_2025_top5,3,speed,11,0.3300166493946877,0.025946488695063236
long_qualifying_2018_2025_top5,3,throttle,9,0.4158549382222733,0.034252315643914295
long_qualifying_2018_2025_top5,3,brake,5,0.1537097114024984,0.028214205276462064
long_qualifying_2018_2025_top5,3,rpm,7,0.29461589794922977,0.025150225186986373
long_qualifying_2018_2025_top5,3,gear,5,0.30241057028991786,0.04008080850432031
long_qualifying_2018_2025_top5,4,other,3,0.12088559654516588,0.03507273046732369
long_qualifying_2018_2025_top5,4,speed,11,0.367767153034691,0.033457528668035946
long_qualifying_2018_2025_top5,4,throttle,9,0.4509163286597072,0.015070836148313792
long_qualifying_2018_2025_top5,4,brake,5,0.23748095834414462,0.01736024557923225
long_qualifying_2018_2025_top5,4,rpm,7,0.39956543535694483,0.048149106883390094
long_qualifying_2018_2025_top5,4,gear,5,0.3855715865874471,0.03532384846799214
long_qualifying_2018_2025_top5,5,other,3,0.05357722962387479,0.020009379982987005
long_qualifying_2018_2025_top5,5,speed,11,0.28998317828384956,0.059982072668028956
long_qualifying_2018_2025_top5,5,throttle,9,0.3907015775943739,0.0236152841147698
long_qualifying_2018_2025_top5,5,brake,5,0.17277450275642037,0.035000259442421335
long_qualifying_2018_2025_top5,5,rpm,7,0.3200354339799102,0.04227648335919558
long_qualifying_2018_2025_top5,5,gear,5,0.2753371038937251,0.03001347056226233
race_2025_clean_laps_top5,1,other,3,0.04868972180869731,0.009501495318990737
race_2025_clean_laps_top5,1,speed,11,0.20618486488549478,0.009090137891343513
race_2025_clean_laps_top5,1,throttle,9,0.5428719628345242,0.00708978674092983
race_2025_clean_laps_top5,1,brake,5,0.21100884973643952,0.01266178063817851
race_2025_clean_laps_top5,1,rpm,7,0.17930896763530918,0.00764500574139239
race_2025_clean_laps_top5,1,gear,5,0.26336313447773685,0.018297363461235002
race_2025_clean_laps_top5,2,other,3,0.02834082053946039,0.006765286114969882
race_2025_clean_laps_top5,2,speed,11,0.168659681164019,0.010176389574133618
race_2025_clean_laps_top5,2,throttle,9,0.39437160388276904,0.010792814765269911
race_2025_clean_laps_top5,2,brake,5,0.17608983483906926,0.014610732787696073
race_2025_clean_laps_top5,2,rpm,7,0.1979215498903993,0.013925024389770257
race_2025_clean_laps_top5,2,gear,5,0.19353249319508492,0.01195993782276685
race_2025_clean_laps_top5,3,other,3,-0.03768443956159504,0.0066686990881756345
race_2025_clean_laps_top5,3,speed,11,0.3404140804509077,0.014160860619823523
race_2025_clean_laps_top5,3,throttle,9,0.4443025079386502,0.007386043343086196
race_2025_clean_laps_top5,3,brake,5,0.20977110581002636,0.01270164226112284
race_2025_clean_laps_top5,3,rpm,7,0.25087554960705394,0.007847464990807587
race_2025_clean_laps_top5,3,gear,5,0.3950713009770674,0.006523187149077759
race_2025_clean_laps_top5,4,other,3,0.05312174078354803,0.009967087765696589
race_2025_clean_laps_top5,4,speed,11,0.3351628509930755,0.01803955047890074
race_2025_clean_laps_top5,4,throttle,9,0.46217346310663165,0.02624840718784167
race_2025_clean_laps_top5,4,brake,5,0.15759500613360222,0.016458895441836784
race_2025_clean_laps_top5,4,rpm,7,0.25326316254190945,0.010760856261098947
race_2025_clean_laps_top5,4,gear,5,0.2870867372140341,0.009588015992498792
race_2025_clean_laps_top5,5,other,3,0.05397452331384618,0.007049275318351743
race_2025_clean_laps_top5,5,speed,11,0.2758237706897785,0.00831692546627977
race_2025_clean_laps_top5,5,throttle,9,0.37384015991974406,0.011922379707003538
race_2025_clean_laps_top5,5,brake,5,0.17275314602648242,0.008728553072175547
race_2025_clean_laps_top5,5,rpm,7,0.14482858372210575,0.012806383428593936
race_2025_clean_laps_top5,5,gear,5,0.3190514637851072,0.00959214579193783
