index,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,n_samples,speed_mean,speed_std,speed_min,speed_max,speed_median,speed_range,throttle_mean,throttle_std,throttle_min,throttle_max,throttle_median,brake_mean,brake_std,brake_min,brake_max,brake_median,rpm_mean,rpm_std,rpm_min,rpm_max,rpm_median,gear_mean,gear_std,gear_min,gear_max,gear_median,throttle_zero_frac,throttle_low_frac,throttle_mid_frac,throttle_high_frac,throttle_full_frac,brake_active_frac,brake_hard_frac,drs_active_frac,first_brake_frac_pos,last_brake_frac_pos,first_full_throttle_frac_pos,last_full_throttle_frac_pos,gear_change_count,brake_on_count,drs_toggle_count,speed_diff_mean,speed_diff_std,speed_diff_abs_mean,speed_diff_abs_max,throttle_diff_mean,throttle_diff_std,throttle_diff_abs_mean,throttle_diff_abs_max,brake_diff_mean,brake_diff_std,brake_diff_abs_mean,brake_diff_abs_max,rpm_diff_mean,rpm_diff_std,rpm_diff_abs_mean,rpm_diff_abs_max,speed_cv,rpm_cv,sector_sum_seconds,sector1_share,sector2_share,sector3_share,speed_p10,speed_p25,speed_p75,speed_p90,throttle_p10,throttle_p25,throttle_p75,throttle_p90,brake_p90
speed_range,0.23512361028666198,0.03699796933816398,0.18563862635250414,0.1910788809113912,0.24724775729783452,0.12758159015773016,0.8215418280300429,-0.49128536286030094,0.6710069797829964,0.09892247778227056,1.0,-0.008377583352839769,0.38177573888033184,,0.4524822635509634,0.11723092655632979,0.1767435587186579,0.28100903571664104,,0.45649870394510106,,0.1834672552619083,0.5956133661248887,-0.3695749121979859,0.5048624567927305,0.4011999105043717,0.1403020227447187,0.7429531813725014,-0.3425529414553233,0.4253662834314223,0.1487117138938963,-0.06832108559553361,-0.06679912710755216,0.18445797486435697,-0.04000994112502527,-0.013675389427066783,0.1767435587186579,,0.45649870394510106,-0.006498513581144345,0.12592930122124163,0.04241247388654518,-0.06553829429285428,0.18675605714189775,0.0894995422929502,,-0.10642633757456425,0.3299372235543544,0.20447182994737703,0.13399582835517435,-0.01979427995807168,-0.10381391359331757,-0.09957036616425165,0.43419715110367274,,0.04150942726338881,-0.02373362857963178,0.45649870394510106,0.007318990884062249,0.25411884612613683,0.17560393493193646,0.20311909115649757,0.5833727165279559,0.5625495996774528,0.23512361028666215,-0.13948884494725478,0.040314461939056564,0.07448825184241789,-0.2890312665576191,-0.1553528900763749,0.449127074661685,0.6450374921816278,-0.08856534771941592,-0.1582211740057329,0.44511958984389793,0.4497662235787454,0.24092440155334288
throttle_mean,0.04047795808061333,0.14345055240622911,-0.22930802114959678,0.177118976961895,0.04928335985851883,0.9452755449986808,-0.265615917691729,0.6038359996171174,0.5048996498502821,0.9286130825996253,-0.008377583352839769,1.0,-0.5838594123252517,,0.3638089288103364,0.7336448053837866,-0.7249510997071351,-0.5919856345796118,,0.3604995256559072,,0.8006177473416033,-0.6503246415155977,0.6164621547870768,0.22216972253409878,0.6259269967951107,0.9289097941529402,-0.34665698781352006,0.5418860085977047,0.5832553820634083,0.8340144809941161,-0.8081481339959544,-0.965070936493666,-0.6134729934810574,0.9786033421727702,0.9568554081598318,-0.7249510997071351,,0.3604995256559072,0.13816583711859273,-0.17219934117296762,-0.01615005571234385,0.1060492771302516,-0.2790691575604742,-0.5305636410432778,,0.10196127613736355,-0.30259021193191216,-0.5965224258689192,0.09749869934128058,0.09989540599682516,-0.40887526622091563,-0.6094840143226822,0.292537089296927,,-0.49616376261194006,-0.5625044987538345,0.3604995256559072,0.021539346069764022,-0.6712119121241674,-0.7373220881595329,-0.2845654033537121,-0.833154963459009,-0.8003467861503566,0.04047795808061343,0.15742543626848451,-0.34158402435708973,0.21936409910490945,0.8495986531909184,0.9051171878340686,0.7881251110497796,0.607536140809874,0.280033306744054,0.9045471762379218,0.3599185625528762,0.36095249444732513,0.040054332949032406
throttle_std,0.005894685801807597,-0.15066961224047212,0.21873118334876127,-0.07731985968484979,0.014564985173747715,-0.5373713988438978,0.491490455389749,-0.3598311671505637,0.10952641078090128,-0.5598034146490493,0.38177573888033184,-0.5838594123252517,1.0,,0.4501769030777573,-0.18316070658012445,0.7299118818699405,0.7963922618808199,,0.4555032307145617,,-0.09646990946023981,0.6906726383241572,-0.30154454274269443,0.4672017312903894,0.1694423690221119,-0.54527562880022,0.5820853458306194,-0.34448479577039787,0.16356938580405797,-0.5162013462712135,0.48999265798822617,0.5353215799797748,0.44465614732801884,-0.5923821069192134,-0.5777646167968284,0.7299118818699405,,0.4555032307145617,-0.16649680037387096,0.08489589609441635,0.005015375753339896,-0.02714586335309731,0.47765495936906266,0.481553458500741,,-0.07853931978594267,0.5590675696832036,0.7516118884568908,0.030060939916875716,-0.05708103290938882,0.6127901927482744,0.5943981168413703,0.5136894497887258,,0.5277597353884852,0.4786785575626546,0.4555032307145617,0.03016691387174188,0.7749648221548099,0.7865740120521015,0.34945004648258665,0.7667386632519432,0.723544461893601,0.005894685801807558,-0.20652784729575865,0.28546350231227835,-0.1210868604360035,-0.6214675392615006,-0.6602074368465972,-0.3210501129856943,-0.06791859918962281,-0.4468561863454038,-0.7820321756238923,0.46242404267403336,0.4584214019678051,0.28538858964063035
throttle_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
throttle_max,-0.003433530813519367,-0.020516468280716873,-0.00013837200956477326,0.012892855711618283,0.01141115550574526,0.3378879604065589,0.27138677210653206,0.1809976996147817,0.6469303564680009,0.2841135218845799,0.4524822635509634,0.3638089288103364,0.4501769030777573,,1.0,0.40995418612791706,0.15389463087355587,0.3633637587550609,,0.9929463274596567,,0.7661448557110759,0.1660225421244717,0.26607855124844126,0.876320557307951,0.9057250691948294,0.3192487370461569,0.28735608111907995,0.148430265126673,0.7907940964282247,0.24498440876402072,-0.4525383517468035,-0.46396807356009556,0.11887602512025881,0.2739901084632125,0.2522371829157642,0.15389463087355587,,0.9929463274596567,-0.07243983962753005,-0.01581092316337463,0.0025219415891860933,0.08279747066129058,0.17565707818905732,0.14661261476412601,,-0.018980789257311823,0.3185437980845922,0.23484098017801514,0.15717180095275862,0.005395472839366538,0.2868911635796147,0.17158424514836565,0.9303713684870495,,0.2634906602243524,0.13502242164979408,0.9929463274596567,0.0016957415037102768,0.2401268593963709,0.17820189913655757,0.1504100341139151,0.0034130549642733938,0.03380248872321583,-0.003433530813519344,-0.023736771011318568,0.003129474883037275,0.016499016384403164,0.18083115714278064,0.17450340097406566,0.4120919629211819,0.524801025403292,0.007941596191390343,0.06184398915985773,0.9888141589720635,0.9912209560492122,0.3902146103005181
throttle_median,0.2625823516009314,0.22903547512473899,-0.02706480580016846,0.28333043081074666,0.26351487265219525,0.6920010810652244,-0.022835465805477722,0.5313126469062974,0.5799784822781727,0.6699860962371903,0.11723092655632979,0.7336448053837866,-0.18316070658012445,,0.40995418612791706,1.0,-0.4590457363322385,-0.2853536140666824,,0.4069925667560431,,0.6333422625100736,-0.36435046851317027,0.4927012568015857,0.24161651889123664,0.5734663034315373,0.7125497527134587,-0.12232123741375066,0.5522606178200444,0.7447653853784996,0.6169272126946487,-0.5804221021880286,-0.7333050889805396,-0.359702331427752,0.6930469157833756,0.6645542389050395,-0.4590457363322385,,0.4069925667560431,0.043623844355639,-0.09218792343968614,0.013299945048782926,0.2282480919649921,0.03755462730795839,-0.3234208732391787,,0.07959099596319588,-0.10430904855974607,-0.31581694693237816,0.13351247026774485,0.1790978146634045,-0.3002997904634571,-0.45899991701100934,0.3658985393401883,,-0.38242604813930586,-0.47151529271971987,0.4069925667560431,0.07956723177038884,-0.44429007356960215,-0.4866876792066542,-0.1935837274389988,-0.5408224419545447,-0.5092595070740988,0.26258235160093163,0.11395542737556796,-0.28443632216961146,0.1968872654645741,0.5236972410537131,0.5657969775943661,0.6505587395556489,0.5748913664616911,0.07349752235116318,0.4685572593826455,0.4101016073417364,0.40818687492950223,0.13579529230332632
brake_mean,-0.08055759326502081,-0.1706625707928497,0.18392071161510573,-0.17628754355558485,-0.07779800300331696,-0.7568417477848824,0.3189509266291244,-0.46368175228964137,-0.20220339780437774,-0.7777380837349558,0.1767435587186579,-0.7249510997071351,0.7299118818699405,,0.15389463087355587,-0.4590457363322385,1.0,0.9671576388099657,,0.15016272047830434,,-0.3798084036900629,0.6951634429779061,-0.4473262774674873,0.2102501739963107,-0.14769700613295728,-0.7326387669553902,0.38029463239058303,-0.4205325688179596,-0.17430093936547286,-0.6827545430074259,0.4485582178664716,0.6433635217456609,0.6419587060712053,-0.7630113219364696,-0.7549194392646708,1.0,,0.15016272047830434,-0.17774672844338082,0.14178147881381478,0.014135589160393716,-0.024328817340258612,0.43704932058990126,0.7414971544446489,,-0.02690226230541944,0.5756965190898554,0.8235101942655879,0.013529864442517288,-0.08367505909339591,0.5502129003218712,0.6841869134416322,0.15852351972801235,,0.7689128760444739,0.7679519588779729,0.15016272047830434,-0.001890060836743239,0.8339502982083012,0.8719042563628545,0.3915059292926802,0.712173629705,0.7144547769479491,-0.08055759326502082,-0.1679269201551295,0.3149131835824013,-0.18331336201725912,-0.7039786669037735,-0.7653220901325043,-0.5942475122614734,-0.370752770151428,-0.16738027623203147,-0.7840092031834369,0.15735483925034022,0.15699759458512852,0.2080966034630757
brake_std,-0.06497416201870591,-0.16384221456141118,0.17461159164160442,-0.14529120422572497,-0.058827365337786486,-0.6237006198799839,0.3840098760284405,-0.37492534597228566,-0.01307997155068178,-0.653626626234938,0.28100903571664104,-0.5919856345796118,0.7963922618808199,,0.3633637587550609,-0.2853536140666824,0.9671576388099657,1.0,,0.3622098039007552,,-0.18247834737847868,0.6911633959429418,-0.3473059931874548,0.38523243872993856,0.06968252125336938,-0.5995091332785277,0.4344165180919098,-0.33334414433339576,0.05037147363059559,-0.5696258364748328,0.31655545317489175,0.49141107406412016,0.6296293007624906,-0.6489377614236972,-0.6473374949364927,0.9671576388099655,,0.3622098039007552,-0.167622358764482,0.13886441814666312,0.017816256579389542,-0.026817778189420338,0.4611868779980987,0.7124103487675983,,-0.03094134421149759,0.6092185948811603,0.8262977468088059,0.04340909012855262,-0.06610572647223828,0.5524429954784471,0.6534891096975964,0.3520526671704269,,0.7625596198921957,0.7265097008683499,0.3622098039007552,0.02319626337715371,0.8232909988154625,0.8469480743065257,0.3907540389737091,0.7119569391008945,0.7113051799594046,-0.06497416201870587,-0.1691925964688377,0.28735481904954474,-0.15402059616990063,-0.627192934712018,-0.6840199172227756,-0.4450759529055119,-0.20521322574704254,-0.15629765529458745,-0.7340438095416848,0.3678115202275138,0.3678338207796641,0.31306971299294883
brake_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brake_max,-0.012230166454082501,-0.02009153750481378,-0.0054262050463983,0.00236943383773073,0.002897555552009746,0.33890052278449134,0.27076192385020836,0.1779979676143845,0.6487515804797797,0.2836267551727151,0.45649870394510106,0.3604995256559072,0.4555032307145617,,0.9929463274596567,0.4069925667560431,0.15016272047830434,0.3622098039007552,,1.0,,0.7711005469867703,0.1625481429900282,0.26430401105201723,0.8781459226505827,0.9106208330535369,0.3187717726111923,0.2904444263360525,0.14453834510918936,0.7975596822953304,0.24564854004799566,-0.4541954574929428,-0.46209631241748467,0.11930076907079483,0.2724553791467204,0.2505661375488558,0.15016272047830428,,1.0,,,,,0.17662789031606965,0.1350092452850547,,-0.027260056742496437,0.309601640964547,0.2370927993665878,0.14249322556228528,-0.0028572185128200637,0.2907507481303832,0.17589345210939986,0.9303918454573982,,0.2595224132325355,0.1284739661772128,1.0,0.0035580144141120124,0.2409145104857833,0.1820492100501479,0.14752369841245747,,,-0.012230166454082439,-0.017078548401726238,0.0035978942223118568,0.010491360507811211,0.18388215249521345,0.1770177788741938,0.413111639093347,0.5266887404505889,0.010394233892007066,0.05823666411695454,0.9913307670594127,0.9938235492434129,0.3866430549687869
