experiment,model,importance_type,feature,importance
experiment_a_with_time_features,xgboost,feature_importance,num__rpm_max,0.018842102959752083
experiment_a_with_time_features,xgboost,feature_importance,num__brake_diff_abs_mean,0.01657416671514511
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_mid_frac,0.016450855880975723
experiment_a_with_time_features,xgboost,feature_importance,num__brake_mean,0.015961484983563423
experiment_a_with_time_features,xgboost,feature_importance,num__brake_std,0.015465615317225456
experiment_a_with_time_features,xgboost,feature_importance,num__brake_diff_std,0.014761525206267834
experiment_a_with_time_features,xgboost,feature_importance,num__rpm_diff_abs_mean,0.014557183720171452
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_high_frac,0.014457578770816326
experiment_a_with_time_features,xgboost,feature_importance,num__speed_mean,0.014299163594841957
experiment_a_with_time_features,xgboost,feature_importance,num__rpm_min,0.014260823838412762
experiment_a_with_time_features,xgboost,feature_importance,num__gear_change_count,0.01408972404897213
experiment_a_with_time_features,xgboost,feature_importance,num__gear_mean,0.01352809276431799
experiment_a_with_time_features,xgboost,feature_importance,num__rpm_mean,0.0132910730317235
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_full_frac,0.012988021597266197
experiment_a_with_time_features,xgboost,feature_importance,num__rpm_median,0.012935402803122997
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_mean,0.012905706651508808
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_std,0.012753830291330814
experiment_a_with_time_features,xgboost,feature_importance,num__gear_median,0.012402120046317577
experiment_a_with_time_features,xgboost,feature_importance,num__rpm_diff_abs_max,0.012230582535266876
experiment_a_with_time_features,xgboost,feature_importance,num__gear_max,0.011849109083414078
experiment_a_with_time_features,xgboost,feature_importance,num__speed_max,0.011831541545689106
experiment_a_with_time_features,xgboost,feature_importance,num__rpm_diff_mean,0.011816142126917839
experiment_a_with_time_features,xgboost,feature_importance,num__TyreLife,0.011715250089764595
experiment_a_with_time_features,xgboost,feature_importance,num__speed_diff_abs_mean,0.011712015606462955
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_low_frac,0.011685001663863659
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_diff_abs_mean,0.011656847782433033
experiment_a_with_time_features,xgboost,feature_importance,num__rpm_diff_std,0.011649218387901783
experiment_a_with_time_features,xgboost,feature_importance,num__speed_p90,0.011541694402694702
experiment_a_with_time_features,xgboost,feature_importance,num__rpm_std,0.011234701611101627
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_diff_std,0.010943830944597721
experiment_a_with_time_features,xgboost,feature_importance,num__Sector1TimeSeconds,0.01090945117175579
experiment_a_with_time_features,xgboost,feature_importance,num__speed_p10,0.010838394984602928
