subset_name,config_name,n_features,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top6,compact_no_context_no_speed,50,4,0.9847328244274809,0.984848484848485,0.9847614071752003,0.7384615384615385,0.7409090909090909,0.7385489347254053,0.2462712859659424,0.24621247244979505
distinctive_top6,compact_no_context_no_speed,50,5,0.9541984732824428,0.9542811839323466,0.9542386576267892,0.8923076923076924,0.890909090909091,0.890675238821692,0.061890780974750426,0.0635634188050972
distinctive_top6,compact_no_context_no_phase_no_speed,46,1,0.946360153256705,0.9462649753347426,0.9464617676997978,0.7878787878787878,0.787878787878788,0.7885782833151254,0.15848136537791713,0.15788348438467248
distinctive_top6,compact_no_context_no_phase_no_speed,46,2,0.9425287356321839,0.9423009161381254,0.9425319841957048,0.8636363636363636,0.8636363636363638,0.8625823451910408,0.07889237199582022,0.07994963900466401
distinctive_top6,compact_no_context_no_phase_no_speed,46,3,0.9580152671755725,0.9580690627202255,0.9582332181169391,0.8461538461538461,0.846969696969697,0.8474025974025974,0.11186142102172636,0.11083062071434169
distinctive_top6,compact_no_context_no_phase_no_speed,46,4,0.9770992366412213,0.977184637068358,0.9772157689973402,0.7538461538461538,0.756060606060606,0.7537004498769204,0.2232530827950675,0.22351531912041978
distinctive_top6,compact_no_context_no_phase_no_speed,46,5,0.9427480916030534,0.9427413671599719,0.9428259988311979,0.8769230769230769,0.8757575757575758,0.8765482546947077,0.06582501467997648,0.06627774413649024
distinctive_top6,compact_core_behavior,46,1,0.946360153256705,0.9462649753347426,0.9464617676997978,0.7878787878787878,0.787878787878788,0.7885782833151254,0.15848136537791713,0.15788348438467248
distinctive_top6,compact_core_behavior,46,2,0.9425287356321839,0.9423009161381254,0.9425319841957048,0.8636363636363636,0.8636363636363638,0.8625823451910408,0.07889237199582022,0.07994963900466401
distinctive_top6,compact_core_behavior,46,3,0.9580152671755725,0.9580690627202255,0.9582332181169391,0.8461538461538461,0.846969696969697,0.8474025974025974,0.11186142102172636,0.11083062071434169
distinctive_top6,compact_core_behavior,46,4,0.9770992366412213,0.977184637068358,0.9772157689973402,0.7538461538461538,0.756060606060606,0.7537004498769204,0.2232530827950675,0.22351531912041978
distinctive_top6,compact_core_behavior,46,5,0.9427480916030534,0.9427413671599719,0.9428259988311979,0.8769230769230769,0.8757575757575758,0.8765482546947077,0.06582501467997648,0.06627774413649024
distinctive_top6,compact_controls_powertrain_dynamics,50,1,0.9616858237547893,0.9616807610993657,0.9617134643906762,0.7878787878787878,0.7878787878787877,0.7848765432098767,0.17380703587600144,0.17683692118079952
distinctive_top6,compact_controls_powertrain_dynamics,50,2,0.9540229885057471,0.953752642706131,0.9538153605953602,0.8333333333333334,0.8333333333333334,0.831940523244871,0.1206896551724137,0.1218748373504892
distinctive_top6,compact_controls_powertrain_dynamics,50,3,0.9656488549618321,0.965644820295983,0.9658108672676219,0.8461538461538461,0.846969696969697,0.848917748917749,0.11949500880798591,0.11689311834987293
distinctive_top6,compact_controls_powertrain_dynamics,50,4,0.9847328244274809,0.984848484848485,0.9847614071752003,0.7384615384615385,0.7409090909090909,0.7385489347254053,0.2462712859659424,0.24621247244979505
distinctive_top6,compact_controls_powertrain_dynamics,50,5,0.9541984732824428,0.9542811839323466,0.9542386576267892,0.8923076923076924,0.890909090909091,0.890675238821692,0.061890780974750426,0.0635634188050972
distinctive_top6,compact_vehicle_state,38,1,0.8544061302681992,0.8543868921775898,0.8538353822033198,0.6666666666666666,0.6666666666666666,0.6559574787769513,0.1877394636015326,0.19787790342636846
distinctive_top6,compact_vehicle_state,38,2,0.842911877394636,0.8431113460183227,0.8426361503904912,0.7575757575757576,0.7575757575757577,0.7599270739430923,0.08533611981887845,0.08270907644739889
distinctive_top6,compact_vehicle_state,38,3,0.8435114503816794,0.8436398872445383,0.8435598218206914,0.7076923076923077,0.7075757575757576,0.7044177472667176,0.13581914268937167,0.13914207455397387
distinctive_top6,compact_vehicle_state,38,4,0.8625954198473282,0.8623150105708245,0.8622938064114534,0.6615384615384615,0.6651515151515152,0.6591015417331207,0.20105695830886672,0.20319226467833262
distinctive_top6,compact_vehicle_state,38,5,0.8740458015267175,0.8738548273431994,0.8738382295963717,0.7538461538461538,0.7545454545454545,0.7546620173622461,0.12019964768056368,0.11917621223412556
distinctive_top6,compact_controls,23,1,0.7854406130268199,0.785059901338971,0.7844533771829162,0.5909090909090909,0.5909090909090909,0.5990977021678776,0.19453152211772895,0.18535567501503858
distinctive_top6,compact_controls,23,2,0.7816091954022989,0.781183932346723,0.7823192984934847,0.6515151515151515,0.6515151515151515,0.6480129470213375,0.1300940438871474,0.1343063514721472
distinctive_top6,compact_controls,23,3,0.7366412213740458,0.7363460183227626,0.7369451351827045,0.6307692307692307,0.6318181818181818,0.6214582255189466,0.105871990604815,0.11548690966375796
distinctive_top6,compact_controls,23,4,0.7557251908396947,0.7557258632840028,0.753178768306229,0.6923076923076923,0.6924242424242424,0.698864585706691,0.0634174985320024,0.05431418259953802
distinctive_top6,compact_controls,23,5,0.7442748091603053,0.7446264975334742,0.7431657012607352,0.7384615384615385,0.7363636363636363,0.7286663216011041,0.005813270698766804,0.014499379659631106
