setup,setup_label,model,model_label,fold,n_train,n_train_inner,n_val,n_test,epochs_trained,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_macro_f1,test_macro_f1,result_source
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,4,558,446.0,112.0,140,80.0,0.9802867383512543,0.9071428571428573,0.9798669415292354,0.9081379310344828,0.9800303700698916,0.906689868502362,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,5,561,450.0,111.0,137,70.0,0.9500891265597148,0.8613138686131386,0.9487840773490804,0.8562004711929749,0.949781706969496,0.8595274423798607,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,gru,GRU,1,560,444.0,116.0,138,62.0,0.3696428571428571,0.3695652173913043,0.3720728960480513,0.3766866566716641,0.3531479994482279,0.3467730376817774,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,gru,GRU,2,559,450.0,109.0,139,48.0,0.2754919499105545,0.3309352517985611,0.2713432059480464,0.3262368815592203,0.2486483115101677,0.3157923246682526,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,gru,GRU,3,554,442.0,112.0,144,33.0,0.2942238267148014,0.2569444444444444,0.283932059726016,0.2532840722495895,0.2687310622744594,0.2256656449601032,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,gru,GRU,4,558,446.0,112.0,140,54.0,0.3512544802867383,0.3,0.3566704147926037,0.3033891625615763,0.3275500949534314,0.265322905764955,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,gru,GRU,5,561,450.0,111.0,137,50.0,0.3083778966131907,0.2554744525547445,0.2999268732980448,0.2453201970443349,0.258084965539511,0.2271007959346251,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,lstm,LSTM,1,560,444.0,116.0,138,20.0,0.2946428571428571,0.2971014492753623,0.28804981078273,0.2928357249946455,0.2558720775118488,0.2643896973896973,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,lstm,LSTM,2,559,450.0,109.0,139,51.0,0.3720930232558139,0.381294964028777,0.372571673347,0.3799100449775113,0.3754165301101798,0.3835497835497835,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,lstm,LSTM,3,554,442.0,112.0,144,31.0,0.3140794223826715,0.3055555555555556,0.316157727407293,0.3022459405218026,0.3161945545045108,0.2857268303313958,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,lstm,LSTM,4,558,446.0,112.0,140,27.0,0.3620071684587813,0.3285714285714285,0.3690817091454274,0.3357635467980295,0.3222139650011359,0.2745717234262126,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,lstm,LSTM,5,561,450.0,111.0,137,28.0,0.3368983957219251,0.3211678832116788,0.3382519964507542,0.3163097022917112,0.3133059820877689,0.2905106817301939,long_qualifying_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,cnn,CNN,1,3466,2906.0,560.0,868,18.0,0.9512406231967686,0.8456221198156681,0.9507030646472924,0.8712195121951221,0.950636508625924,0.8635589747705457,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,cnn,CNN,2,3359,2679.0,680.0,975,19.0,0.922893718368562,0.8564102564102564,0.9216876964278368,0.856582580573213,0.9232236242891524,0.8577424635975419,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,cnn,CNN,3,3284,2645.0,639.0,1050,22.0,0.9701583434835568,0.7647619047619048,0.970766463053095,0.7663701421674938,0.9707331405682718,0.7667159049590637,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,cnn,CNN,4,3614,2870.0,744.0,720,46.0,0.9861649142224682,0.9013888888888888,0.9862308622538792,0.9030078465562336,0.9864211362676792,0.9004798219118012,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,cnn,CNN,5,3613,2919.0,694.0,721,37.0,0.9748131746471076,0.9181692094313454,0.975141873886125,0.9249930317324184,0.9756505314579064,0.9136410092440544,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,hybrid_cnn_tabular,Hybryda CNN + tabular,1,3466,2906.0,560.0,868,25.0,0.9826889786497404,0.904377880184332,0.9824381131091474,0.919676123095856,0.9824895346011272,0.904585536459565,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,hybrid_cnn_tabular,Hybryda CNN + tabular,2,3359,2679.0,680.0,975,12.0,0.8710925870794879,0.8061538461538461,0.8708477948600031,0.8034972677595628,0.8709145138782091,0.8033332377237027,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,hybrid_cnn_tabular,Hybryda CNN + tabular,3,3284,2645.0,639.0,1050,32.0,0.9881242387332522,0.8028571428571428,0.9885223385964028,0.8015653116009606,0.9884132694345216,0.8039513751727492,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,hybrid_cnn_tabular,Hybryda CNN + tabular,4,3614,2870.0,744.0,720,35.0,0.9737133370226896,0.8875,0.973913157623522,0.8876990317992016,0.9736053590291036,0.8873066928454701,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,hybrid_cnn_tabular,Hybryda CNN + tabular,5,3613,2919.0,694.0,721,24.0,0.9631884860226958,0.8918169209431346,0.962519260239882,0.8906044525443111,0.96326488331145,0.8847766785619285,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,gru,GRU,1,3466,2906.0,560.0,868,41.0,0.7720715522215811,0.5910138248847926,0.7680146104401382,0.6356602465209341,0.7657692185545926,0.6303838803842379,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,gru,GRU,2,3359,2679.0,680.0,975,22.0,0.3590354272104793,0.2974358974358974,0.3464351954280357,0.2949613025538083,0.2929543068267654,0.2353201936877527,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,gru,GRU,3,3284,2645.0,639.0,1050,27.0,0.7302070645554202,0.5942857142857143,0.7339110239590486,0.5967070637233495,0.7248286910865318,0.6040609116321887,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,gru,GRU,4,3614,2870.0,744.0,720,36.0,0.6950747094631987,0.6319444444444444,0.7020044663519839,0.6154017345019043,0.7031883533797139,0.606243194850869,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,gru,GRU,5,3613,2919.0,694.0,721,60.0,0.8998062551895931,0.8474341192787794,0.903139114462367,0.8210877776718972,0.9017830137727746,0.8306263318405923,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,lstm,LSTM,1,3466,2906.0,560.0,868,11.0,0.273802654356607,0.3076036866359447,0.2696842856377329,0.2838264894979011,0.2068614910232121,0.2186326226052279,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,lstm,LSTM,2,3359,2679.0,680.0,975,17.0,0.343852337005061,0.2625641025641025,0.3313184438179083,0.2612244897959183,0.2083332921039748,0.1590138046966532,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,lstm,LSTM,3,3284,2645.0,639.0,1050,22.0,0.5328867235079172,0.3857142857142857,0.5248675037884799,0.3861758433877611,0.510473042725883,0.3404537989914569,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,lstm,LSTM,4,3614,2870.0,744.0,720,11.0,0.2523519645821804,0.2652777777777778,0.245568017303993,0.2672257146790254,0.1724359963575349,0.1934240440803151,race_2025_top5_sequence_full_rerun_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,lstm,LSTM,5,3613,2919.0,694.0,721,56.0,0.7722114586216441,0.5852981969486823,0.7723739689531468,0.5902556619655676,0.775750603307776,0.5881094228547779,race_2025_top5_sequence_full_rerun_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,logistic_regression,Regresja logistyczna,1,560,,,138,,0.9196428571428572,0.8405797101449275,0.918539500527078,0.8405868494324267,0.9191958641851457,0.8379328802078285,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,logistic_regression,Regresja logistyczna,2,559,,,139,,0.9177101967799642,0.7913669064748201,0.9164547318177648,0.7874062968515743,0.9173629591020896,0.7910494317613338,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,logistic_regression,Regresja logistyczna,3,554,,,144,,0.9169675090252708,0.8333333333333334,0.9158290227786444,0.8332767743112569,0.916387455622838,0.8334938844280518,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,logistic_regression,Regresja logistyczna,4,558,,,140,,0.9157706093189965,0.8714285714285714,0.915043728135932,0.8689950738916256,0.9158972832528762,0.8693059007387868,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,logistic_regression,Regresja logistyczna,5,561,,,137,,0.9162210338680928,0.8029197080291971,0.915860539118196,0.7987363461126579,0.9162148578974064,0.799150156798533,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,random_forest,Random Forest,1,560,,,138,,1.0,0.6811594202898551,1.0,0.6793745984150782,1.0,0.6754089559144896,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,random_forest,Random Forest,2,559,,,139,,1.0,0.7410071942446043,1.0,0.7355322338830584,1.0,0.735144616434939,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,random_forest,Random Forest,3,554,,,144,,1.0,0.6597222222222222,1.0,0.6562196679438059,1.0,0.6554695595215663,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,random_forest,Random Forest,4,558,,,140,,1.0,0.6071428571428571,1.0,0.6057241379310344,1.0,0.6037468278137883,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,random_forest,Random Forest,5,561,,,137,,1.0,0.656934306569343,1.0,0.6523773827372029,1.0,0.6512949039264828,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hist_gradient_boosting,HistGradientBoosting,1,560,,,138,,1.0,0.782608695652174,1.0,0.7761726279717285,1.0,0.7761725599064875,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hist_gradient_boosting,HistGradientBoosting,2,559,,,139,,1.0,0.7122302158273381,1.0,0.7061469265367316,1.0,0.7078428693413544,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hist_gradient_boosting,HistGradientBoosting,3,554,,,144,,1.0,0.7152777777777778,1.0,0.7116529830322935,1.0,0.712218248173744,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hist_gradient_boosting,HistGradientBoosting,4,558,,,140,,1.0,0.6642857142857143,1.0,0.6633497536945813,1.0,0.6598986987414446,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,hist_gradient_boosting,HistGradientBoosting,5,561,,,137,,1.0,0.6934306569343066,1.0,0.6935639323195544,1.0,0.6940327868852458,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,xgboost,xgboost,1,560,,,138,,1.0,0.7608695652173914,1.0,0.7549903619618761,1.0,0.7561164635740907,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,xgboost,xgboost,2,559,,,139,,1.0,0.7194244604316546,1.0,0.7166416791604198,1.0,0.7162397231065226,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,xgboost,xgboost,3,554,,,144,,1.0,0.7083333333333334,1.0,0.7035741652983033,1.0,0.7012372751353262,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,xgboost,xgboost,4,558,,,140,,1.0,0.6642857142857143,1.0,0.6611428571428571,1.0,0.660464574960273,long_horizon_baseline_fold_metrics.csv
long_qualifying_2018_2025_top5,Kwalifikacje 2018-2025,xgboost,xgboost,5,561,,,137,,1.0,0.6934306569343066,1.0,0.6956093381880489,1.0,0.69239944325525,long_horizon_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,logistic_regression,Regresja logistyczna,1,3466,,,868,,0.977207155222158,0.913594470046083,0.9769120050647532,0.9252241814348736,0.9769104524091892,0.9152490405391608,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,logistic_regression,Regresja logistyczna,2,3359,,,975,,0.9785650491217625,0.7928205128205128,0.9790005787008204,0.7929259507081521,0.9789172879268144,0.7967034335498784,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,logistic_regression,Regresja logistyczna,3,3284,,,1050,,0.9814250913520096,0.6961904761904761,0.9818067018973148,0.6960300065025401,0.9818509878278768,0.6919594447949683,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,logistic_regression,Regresja logistyczna,4,3614,,,720,,0.9723298284449364,0.9083333333333332,0.9729259922756242,0.9061028770706192,0.9729495456350538,0.907307277890426,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,logistic_regression,Regresja logistyczna,5,3613,,,721,,0.9828397453639636,0.8224687933425797,0.983312305049224,0.815753684645194,0.9832958115513846,0.810408368402399,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,random_forest,Random Forest,1,3466,,,868,,1.0,0.836405529953917,1.0,0.8452127593275683,1.0,0.835361339627996,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,random_forest,Random Forest,2,3359,,,975,,1.0,0.6348717948717949,1.0,0.6292929630868741,1.0,0.6135450725516194,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,random_forest,Random Forest,3,3284,,,1050,,1.0,0.459047619047619,1.0,0.4629972983413604,1.0,0.4394560798179202,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,random_forest,Random Forest,4,3614,,,720,,1.0,0.6513888888888889,1.0,0.6552700408388015,1.0,0.6196763529361589,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,random_forest,Random Forest,5,3613,,,721,,1.0,0.6144244105409153,1.0,0.5969114295470428,1.0,0.6113755495148407,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,hist_gradient_boosting,HistGradientBoosting,1,3466,,,868,,1.0,0.8709677419354839,1.0,0.8772634800242278,1.0,0.871126534227888,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,hist_gradient_boosting,HistGradientBoosting,2,3359,,,975,,1.0,0.6533333333333333,1.0,0.6501889149102263,1.0,0.6508716227529738,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,hist_gradient_boosting,HistGradientBoosting,3,3284,,,1050,,1.0,0.4742857142857143,1.0,0.4802545675118932,1.0,0.4559484835201878,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,hist_gradient_boosting,HistGradientBoosting,4,3614,,,720,,1.0,0.7305555555555555,1.0,0.7347347772220438,1.0,0.7086074965753133,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,hist_gradient_boosting,HistGradientBoosting,5,3613,,,721,,1.0,0.6324549237170597,1.0,0.6079494631853122,1.0,0.6166366835944828,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,xgboost,xgboost,1,3466,,,868,,1.0,0.869815668202765,1.0,0.8782311100247195,1.0,0.8688431168627309,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,xgboost,xgboost,2,3359,,,975,,1.0,0.6492307692307693,1.0,0.6454527712724433,1.0,0.6413824450583493,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,xgboost,xgboost,3,3284,,,1050,,1.0,0.459047619047619,1.0,0.464054842767356,1.0,0.4468549757412042,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,xgboost,xgboost,4,3614,,,720,,1.0,0.7125,1.0,0.7174287615289312,1.0,0.6881599547976839,race_2025_baseline_fold_metrics.csv
race_2025_clean_laps_top5,Wyścigi 2025,xgboost,xgboost,5,3613,,,721,,1.0,0.6435506241331485,1.0,0.6196790891091205,1.0,0.6319463505434355,race_2025_baseline_fold_metrics.csv
