setup,setup_label,model,model_label,result_source,n_folds,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_macro_f1_bootstrap_ci95_low,test_macro_f1_bootstrap_ci95_high,train_macro_f1_mean,train_macro_f1_std,macro_f1_gap_mean,n_train_mean,n_val_mean,n_test_mean,epochs_trained_mean,epochs_trained_std,oof_macro_f1,oof_accuracy,oof_balanced_accuracy
race_2025_clean_laps_top5,Wyścigi 2025,hist_gradient_boosting,HistGradientBoosting,race_2025_baseline_fold_metrics.csv,5,0.6606381641341692,0.15044583059165187,0.4559484835201878,0.871126534227888,0.5454649139777701,0.7761775818062242,1.0,0.0,0.3393618358658308,3467.2,,866.8,,,,,
race_2025_clean_laps_top5,Wyścigi 2025,hybrid_cnn_tabular,Hybryda CNN + tabular,race_2025_top5_sequence_full_rerun_fold_metrics.csv,5,0.856790704152683,0.04911334271059001,0.8033332377237027,0.904585536459565,0.8198691808709665,0.8937122274343997,0.9557375120508823,0.04835865518150848,0.09894680789819932,3467.2,663.4,866.8,25.6,8.905054744357274,0.8524259154561872,0.8527918781725888,0.8521691841430823
race_2025_clean_laps_top5,Wyścigi 2025,logistic_regression,Regresja logistyczna,race_2025_baseline_fold_metrics.csv,5,0.8243255130353665,0.0916931068339558,0.6919594447949683,0.9152490405391608,0.7559778091650418,0.8911042010523145,0.9787848170700638,0.0041027935134686664,0.15445930403469732,3467.2,,866.8,,,0.8177186595151428,0.8177203507152746,0.8185794824390127
race_2025_clean_laps_top5,Wyścigi 2025,lstm,LSTM,race_2025_top5_sequence_full_rerun_fold_metrics.csv,5,0.2999267386456862,0.17499979593190643,0.1590138046966532,0.5881094228547779,0.18470166403183289,0.45275917445048874,0.3747708851036761,0.2626948106559577,0.07484414645798992,3467.2,663.4,866.8,23.4,18.796276226955168,0.3162368283190376,0.3555606829718505,0.3509714567340922
race_2025_clean_laps_top5,Wyścigi 2025,random_forest,Random Forest,race_2025_baseline_fold_metrics.csv,5,0.6238828788897071,0.14055015293541512,0.4394560798179202,0.835361339627996,0.5103179329883077,0.7466348327974452,1.0,0.0,0.37611712111029294,3467.2,,866.8,,,,,
race_2025_clean_laps_top5,Wyścigi 2025,xgboost,xgboost,race_2025_baseline_fold_metrics.csv,5,0.6554373686006807,0.15072223165050785,0.4468549757412042,0.8688431168627309,0.5339742849433546,0.7759716292379956,1.0,0.0,0.3445626313993193,3467.2,,866.8,,,,,
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,cnn,CNN,sequence_architecture_fold_metrics.csv,5,0.8941395725047899,0.04787877608253892,0.8559759081498213,0.9635610766045548,0.8592132814045857,0.9345478289826115,0.9641373229684908,0.01808398844205849,0.06999775046370083,218.4,45.0,54.6,96.2,19.30543964793343,0.895241272348728,0.8974358974358975,0.8967676767676768
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,gru,GRU,sequence_architecture_fold_metrics.csv,5,0.4445324094254296,0.06152745978072003,0.3650658509017642,0.5320190359741551,0.3972997728106087,0.4952482031936885,0.5410225941580519,0.06128852945826144,0.09649018473262228,218.4,45.0,54.6,116.8,5.630275304103699,0.4594659063369565,0.4945054945054945,0.4925252525252525
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,hybrid_cnn_tabular,Hybryda CNN + tabular,sequence_architecture_fold_metrics.csv,5,0.9146880039868599,0.05120105406020437,0.8470537212596708,0.9635610766045548,0.871975004095828,0.9524134644912678,0.9788387637544277,0.008387742392231713,0.06415075976756779,218.4,45.0,54.6,90.4,18.84940317357555,0.9147439815086876,0.9157509157509156,0.9154208754208756
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,logistic_regression_final,Regresja logistyczna,final_model_fold_metrics.csv,5,0.8607684778989126,0.01930595473479627,0.8287502352719744,0.8756643356643355,0.8437596316726751,0.8734308010829748,0.9889062490921757,0.004191633949082373,0.12813777119326308,218.4,,54.6,,,0.8617037086448901,0.8608058608058609,0.8607407407407408
short_qualifying_2023_2025_top5,Kwalifikacje 2023-2025,lstm,LSTM,sequence_architecture_fold_metrics.csv,5,0.3170433391170233,0.11039657827893685,0.175,0.4751578947368421,0.23457142857142857,0.4067087719298246,0.3720566731110835,0.1564987228314429,0.055013333994060165,218.4,45.0,54.6,68.4,31.085366332086227,0.3365234765234765,0.36996336996337,0.3684848484848484
