subset_name,penalty,C,class_weight,feature,importance
distinctive_top6,l2,1.0,balanced,num__throttle_max,0.2014847340167838
distinctive_top6,l2,1.0,balanced,num__TyreLife,0.19237214084694823
distinctive_top6,l2,1.0,balanced,num__speed_p75,0.1876689776014451
distinctive_top6,l2,1.0,balanced,num__rpm_diff_abs_max,0.18488595892506043
distinctive_top6,l2,1.0,balanced,num__n_samples,0.18053694399188944
distinctive_top6,l2,1.0,balanced,num__speed_p10,0.1801157390014121
distinctive_top6,l2,1.0,balanced,num__speed_p25,0.1794157240440621
distinctive_top6,l2,1.0,balanced,num__speed_mean,0.16392104893603765
distinctive_top6,l2,1.0,balanced,num__speed_max,0.16353646834554075
distinctive_top6,l2,1.0,balanced,num__throttle_diff_mean,0.16208987985769283
distinctive_top6,l2,1.0,balanced,num__speed_min,0.1298175677489217
distinctive_top6,l2,1.0,balanced,num__speed_diff_abs_max,0.12275121888359719
distinctive_top6,l2,1.0,balanced,num__speed_range,0.11199067085954136
distinctive_top6,l2,1.0,balanced,num__throttle_p90,0.08657184778332422
distinctive_top6,l2,1.0,balanced,cat__Compound_MEDIUM,0.05486567111241924
distinctive_top6,l2,1.0,balanced,cat__Compound_SOFT,0.054361992677084386
distinctive_top6,l2,1.0,balanced,num__brake_p90,0.023080941512927416
distinctive_top6,l2,1.0,balanced,cat__Compound_HARD,0.013471101243216153
distinctive_top6,l2,1.0,balanced,num__brake_max,0.0
distinctive_top6,l2,1.0,balanced,num__first_full_throttle_frac_pos,0.0
distinctive_top6,l2,1.0,balanced,num__brake_diff_abs_max,0.0
