subset_name,event_name,n_drivers,n_samples,n_sessions,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap
distinctive_top6,Japanese Grand Prix,6,18,3,1.0,0.49999999999999994,0.5,1.0,0.3796296296296296,0.6203703703703703
distinctive_top6,Mexico City Grand Prix,6,18,3,1.0,0.5555555555555555,0.4444444444444445,1.0,0.4537037037037037,0.5462962962962963
distinctive_top6,Miami Grand Prix,6,18,3,1.0,0.7222222222222222,0.2777777777777778,1.0,0.6296296296296297,0.3703703703703704
distinctive_top6,Monaco Grand Prix,6,18,3,1.0,0.611111111111111,0.3888888888888889,1.0,0.4907407407407407,0.5092592592592593
distinctive_top6,Qatar Grand Prix,6,18,3,1.0,0.3888888888888889,0.6111111111111112,1.0,0.25925925925925924,0.7407407407407408
distinctive_top6,Singapore Grand Prix,6,18,3,1.0,0.4444444444444444,0.5555555555555556,1.0,0.3611111111111111,0.638888888888889
distinctive_top6,United States Grand Prix,6,18,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5833333333333333,0.4166666666666667
distinctive_top8,Austrian Grand Prix,8,24,3,1.0,0.2916666666666667,0.7083333333333334,1.0,0.21805555555555553,0.7819444444444444
distinctive_top8,Bahrain Grand Prix,8,24,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6041666666666666,0.3958333333333333
distinctive_top8,Italian Grand Prix,8,24,3,1.0,0.625,0.375,1.0,0.5694444444444444,0.4305555555555556
distinctive_top8,Japanese Grand Prix,8,24,3,1.0,0.5,0.5,1.0,0.40277777777777773,0.5972222222222222
distinctive_top8,Mexico City Grand Prix,8,24,3,1.0,0.5416666666666666,0.4583333333333333,1.0,0.4680555555555555,0.5319444444444444
distinctive_top8,Miami Grand Prix,8,24,3,1.0,0.5,0.5,1.0,0.4236111111111111,0.576388888888889
distinctive_top8,Monaco Grand Prix,8,24,3,1.0,0.5416666666666666,0.4583333333333333,1.0,0.4375,0.5625
distinctive_top8,Qatar Grand Prix,8,24,3,1.0,0.4166666666666667,0.5833333333333334,1.0,0.2805555555555555,0.7194444444444444
distinctive_top8,Singapore Grand Prix,8,24,3,1.0,0.375,0.625,1.0,0.2708333333333333,0.7291666666666666
distinctive_top8,United States Grand Prix,8,24,3,1.0,0.5416666666666666,0.4583333333333333,1.0,0.4236111111111111,0.576388888888889
confusion_union_top3_pairs,Abu Dhabi Grand Prix,6,18,3,1.0,0.5,0.5,1.0,0.37407407407407406,0.6259259259259259
confusion_union_top3_pairs,Austrian Grand Prix,6,18,3,1.0,0.4444444444444444,0.5555555555555556,1.0,0.3611111111111111,0.638888888888889
confusion_union_top3_pairs,Bahrain Grand Prix,6,18,3,1.0,0.3333333333333333,0.6666666666666666,1.0,0.21296296296296294,0.7870370370370371
confusion_union_top3_pairs,Italian Grand Prix,6,18,3,1.0,0.611111111111111,0.3888888888888889,1.0,0.5037037037037037,0.49629629629629646
confusion_union_top3_pairs,Japanese Grand Prix,6,18,3,1.0,0.4444444444444444,0.5555555555555556,1.0,0.3148148148148148,0.6851851851851851
