n_samples,speed_mean,speed_std,speed_min,speed_max,speed_q10,speed_q50,speed_q90,speed_range,throttle_mean,throttle_std,throttle_min,throttle_max,throttle_zero_frac,throttle_full_frac,throttle_mid_frac,brake_mean,brake_std,brake_min,brake_max,brake_active_frac,brake_on_count,first_brake_frac_pos,last_brake_frac_pos,rpm_mean,rpm_std,rpm_min,rpm_max,gear_mean,gear_std,gear_min,gear_max,gear_change_count,speed_diff_mean,speed_diff_std,speed_diff_abs_mean,throttle_diff_mean,throttle_diff_std,throttle_diff_abs_mean,rpm_diff_mean,rpm_diff_std,rpm_diff_abs_mean,drs_active_frac,lap_key,Driver,season,round,event_name,session_name,LapNumber,LapTimeSeconds,Compound,TyreLife,Team,Stint,SessionPart,stint_median_lap_seconds,lap_time_delta_to_stint_median,session_key,TrackStatus,lap_time_not_null,dry_session,accurate,not_deleted,not_fastf1_generated,track_status_green,not_pit_in_out,within_2s_of_stint_median,within_3s_of_stint_median
281,217.7900355871886,62.16305207446796,97.0,313.0,128.0,229.0,294.0,216.0,70.7153024911032,40.36428868085927,0.0,100.0,0.19572953736654805,0.5587188612099644,0.24555160142348753,0.16370106761565836,0.3706642246874411,0.0,1.0,0.16370106761565836,7,0.10714285714285714,0.8178571428571428,10346.982206405693,1179.5463548558344,7054.0,12029.0,5.501779359430605,1.5700877026462619,3,8,29,0.007142857142857143,9.936714751425809,6.514285714285714,0.0,15.950865416236253,5.685714285714286,-0.25357142857142856,448.8437195450247,311.46785714285716,0.0,2025_r09_R_VER_lap62,VER,2025,9,Spanish Grand Prix,R,62.0,77.019,HARD,7.0,Red Bull Racing,5.0,,,,2025_9_R,1,True,True,True,True,True,True,True,True,True
287,211.78048780487805,62.63053977931155,92.0,314.0,125.0,224.0,290.0,222.0,67.88850174216027,41.30952717182758,0.0,100.0,0.20905923344947736,0.5331010452961672,0.2578397212543554,0.17073170731707318,0.376931604883912,0.0,1.0,0.17073170731707318,7,0.08391608391608392,0.7972027972027972,10193.01393728223,1256.0328627279723,6622.0,11945.0,5.386759581881533,1.5533290286889179,3,8,29,-0.01048951048951049,10.345770986417511,6.381118881118881,0.0,16.854589671138722,5.895104895104895,3.4755244755244754,448.17784427680175,309.38461538461536,0.0,2025_r09_R_VER_lap63,VER,2025,9,Spanish Grand Prix,R,63.0,77.608,HARD,8.0,Red Bull Racing,5.0,,,,2025_9_R,1,True,True,True,True,True,True,True,True,True
305,208.02622950819674,64.15549034438699,84.0,315.0,116.2,214.0,294.0,231.0,64.10819672131147,42.159761524506735,0.0,100.0,0.22295081967213115,0.4819672131147541,0.29508196721311475,0.19344262295081968,0.3956460624471569,0.0,1.0,0.19344262295081968,10,0.09868421052631579,0.930921052631579,10202.924590163935,1295.7648945923056,6178.0,11997.0,5.226229508196721,1.6557219008463322,3,8,32,0.0,9.349467431577342,6.1644736842105265,0.0,17.696189293504723,6.875,0.12171052631578948,427.9223137320648,302.7861842105263,0.04262295081967213,2025_r09_R_VER_lap64,VER,2025,9,Spanish Grand Prix,R,64.0,80.06,HARD,9.0,Red Bull Racing,5.0,,,,2025_9_R,1,True,True,True,True,True,True,True,True,True
279,211.01433691756273,67.08402179926138,92.0,338.0,124.0,222.0,301.0,246.0,65.9820788530466,41.84395946686048,0.0,100.0,0.22580645161290322,0.5125448028673835,0.2616487455197133,0.1863799283154122,0.3901127107358753,0.0,1.0,0.1863799283154122,6,0.08633093525179857,0.8129496402877698,10224.960573476703,1391.3918120712622,6533.0,12017.0,5.344086021505376,1.6369911664100751,3,8,29,-0.017985611510791366,12.010060474714123,7.219424460431655,0.0,18.449853980813977,6.913669064748201,3.6654676258992804,496.4338962196735,344.03956834532374,0.2078853046594982,2025_r09_R_VER_lap65,VER,2025,9,Spanish Grand Prix,R,65.0,78.122,HARD,10.0,Red Bull Racing,5.0,,,,2025_9_R,1,True,True,True,True,True,True,True,True,True
289,211.77854671280278,67.12053386212135,90.0,337.0,124.0,222.0,303.2,247.0,65.89273356401384,41.88002352705502,0.0,100.0,0.22491349480968859,0.5121107266435986,0.2629757785467128,0.2041522491349481,0.4037799580433547,0.0,1.0,0.2041522491349481,8,0.09027777777777778,0.9305555555555556,10356.875432525952,1283.0966414785405,6464.0,12231.0,5.28719723183391,1.6926748122401747,2,8,35,-0.024305555555555556,10.539593487177369,7.065972222222222,-0.020833333333333332,16.920172794234684,6.826388888888889,1.125,503.0916247830302,363.7916666666667,0.2179930795847751,2025_r09_R_VER_lap66,VER,2025,9,Spanish Grand Prix,R,66.0,78.081,HARD,11.0,Red Bull Racing,5.0,,,,2025_9_R,1,True,True,True,True,True,True,True,True,True
297,207.42760942760944,59.510977116044714,94.0,308.0,127.0,213.0,285.80000000000007,214.0,65.58249158249158,42.44663696592452,0.0,100.0,0.22895622895622897,0.5218855218855218,0.24915824915824916,0.1750841750841751,0.38068050241330315,0.0,1.0,0.1750841750841751,7,0.10135135135135136,0.9391891891891891,10122.94276094276,1248.1233155829639,6666.0,12075.0,5.296296296296297,1.4931441589744372,3,8,25,-0.010135135135135136,8.952032170500539,6.347972972972973,0.0,16.74271913602437,6.337837837837838,0.08108108108108109,442.9396486956478,325.1689189189189,0.0,2025_r09_R_VER_lap7,VER,2025,9,Spanish Grand Prix,R,7.0,80.76,SOFT,10.0,Red Bull Racing,1.0,,,,2025_9_R,1,True,True,True,True,True,True,True,True,True
292,205.3458904109589,60.075956076596555,92.0,308.0,120.30000000000001,213.0,287.7000000000001,216.0,64.91095890410959,42.11380771732608,0.0,100.0,0.21232876712328766,0.4931506849315068,0.2945205479452055,0.17123287671232876,0.3773590456874499,0.0,1.0,0.17123287671232876,8,0.10309278350515463,0.9450171821305842,10076.880136986301,1286.3326527330582,6600.0,12068.0,5.260273972602739,1.4993918332771636,3,8,27,-0.044673539518900345,9.325607911031721,6.367697594501718,0.0,17.839707744629482,6.323024054982818,-1.422680412371134,449.32352605893226,322.21993127147766,0.0,2025_r09_R_VER_lap8,VER,2025,9,Spanish Grand Prix,R,8.0,81.019,SOFT,11.0,Red Bull Racing,1.0,,,,2025_9_R,1,True,True,True,True,True,True,True,True,True
292,203.4931506849315,59.7916481629255,92.0,309.0,122.0,208.0,282.0,217.0,64.45547945205479,42.84618141641853,0.0,100.0,0.23972602739726026,0.4897260273972603,0.2705479452054795,0.1952054794520548,0.39703924720192296,0.0,1.0,0.1952054794520548,8,0.08934707903780069,0.9381443298969072,10031.044520547945,1307.8921769261858,6629.0,11989.0,5.256849315068493,1.503416843067866,3,8,24,-0.006872852233676976,9.206067387269664,6.4604810996563575,0.0,16.94941764842349,6.254295532646048,-0.20962199312714777,471.4296898359522,337.4192439862543,0.0,2025_r09_R_VER_lap9,VER,2025,9,Spanish Grand Prix,R,9.0,81.168,SOFT,12.0,Red Bull Racing,1.0,,,,2025_9_R,1,True,True,True,True,True,True,True,True,True
264,219.14772727272728,62.83611488004421,66.0,302.0,129.0,226.5,294.70000000000005,236.0,67.73863636363636,40.37584668898049,0.0,100.0,0.14015151515151514,0.14393939393939395,0.7159090909090909,0.1856060606060606,0.3895268799829982,0.0,1.0,0.1856060606060606,8,0.057034220532319393,0.9239543726235742,10151.795454545454,1454.7412650076792,4854.0,12081.0,5.859848484848484,1.5227231884077965,3,8,28,-0.09885931558935361,10.513791316845609,6.813688212927756,0.0038022813688212928,16.042048302250887,5.752851711026616,1.3460076045627376,512.1879333393432,357.73384030418254,0.0,2025_r11_R_HAM_lap10,HAM,2025,11,Austrian Grand Prix,R,10.0,71.333,MEDIUM,10.0,Ferrari,1.0,,,,2025_11_R,1,True,True,True,True,True,True,True,True,True
265,216.9433962264151,63.36050506473507,66.0,301.0,120.0,224.0,291.0,235.0,69.33962264150944,40.489122836125745,0.0,99.0,0.13962264150943396,0.1509433962264151,0.7094339622641509,0.22264150943396227,0.41680672317341705,0.0,1.0,0.22264150943396227,7,0.056818181818181816,0.9053030303030303,10224.290566037736,1557.1997140195222,5092.0,12095.0,5.7622641509433965,1.4590660170400753,3,8,30,0.07954545454545454,10.259620273558951,6.8522727272727275,0.0,15.465157699215258,5.318181818181818,-2.715909090909091,499.96389867076937,351.1098484848485,0.0,2025_r11_R_HAM_lap11,HAM,2025,11,Austrian Grand Prix,R,11.0,71.169,MEDIUM,11.0,Ferrari,1.0,,,,2025_11_R,1,True,True,True,True,True,True,True,True,True
261,218.57471264367817,62.18328346674507,67.0,299.0,121.0,227.0,290.0,232.0,67.88122605363985,41.099004199412406,0.0,100.0,0.16475095785440613,0.14559386973180077,0.6896551724137931,0.210727969348659,0.4086090932655832,0.0,1.0,0.210727969348659,7,0.05384615384615385,0.9230769230769231,10195.911877394636,1492.2337888769564,5060.0,12039.0,5.85823754789272,1.4984027255612389,3,8,33,-0.011538461538461539,9.797755117679015,6.696153846153846,0.0,16.062618778011323,5.615384615384615,-0.5230769230769231,495.5410632948045,359.4230769230769,0.0,2025_r11_R_HAM_lap12,HAM,2025,11,Austrian Grand Prix,R,12.0,70.891,MEDIUM,12.0,Ferrari,1.0,,,,2025_11_R,1,True,True,True,True,True,True,True,True,True
258,219.47674418604652,61.827435275794464,66.0,301.0,128.0,230.0,290.3,235.0,67.88372093023256,41.56381393595108,0.0,100.0,0.17829457364341086,0.16666666666666666,0.6550387596899225,0.2054263565891473,0.40479808629055414,0.0,1.0,0.2054263565891473,7,0.05058365758754864,0.9221789883268483,10257.864341085271,1414.0806919390893,4892.0,12007.0,5.825581395348837,1.529414784433308,3,8,32,-0.011673151750972763,10.811771106310609,6.906614785992218,0.0,17.383541066192468,5.463035019455253,-0.3229571984435798,497.6079899855617,350.284046692607,0.0,2025_r11_R_HAM_lap13,HAM,2025,11,Austrian Grand Prix,R,13.0,70.714,MEDIUM,13.0,Ferrari,1.0,,,,2025_11_R,1,True,True,True,True,True,True,True,True,True
271,220.1549815498155,61.95851332335533,67.0,302.0,127.0,230.0,294.0,235.0,69.84870848708488,40.68382138393456,0.0,100.0,0.15498154981549817,0.14760147601476015,0.6974169741697417,0.2177121771217712,0.4134542007410589,0.0,1.0,0.2177121771217712,7,0.05185185185185185,0.9185185185185185,10262.154981549815,1400.4393589563174,5147.0,12222.0,5.841328413284133,1.5301623271080773,3,8,32,-0.007407407407407408,10.645693962580662,6.659259259259259,0.0,15.85224527621869,5.125925925925926,-0.29259259259259257,519.1968414464543,347.96666666666664,0.0,2025_r11_R_HAM_lap14,HAM,2025,11,Austrian Grand Prix,R,14.0,70.701,MEDIUM,14.0,Ferrari,1.0,,,,2025_11_R,1,True,True,True,True,True,True,True,True,True
265,218.52830188679246,62.19020304726489,69.0,300.0,124.4,228.0,291.6,231.0,67.74716981132076,40.92648899465221,0.0,100.0,0.15471698113207547,0.1018867924528302,0.7433962264150943,0.22264150943396227,0.416806723173417,0.0,1.0,0.22264150943396227,7,0.056818181818181816,0.9204545454545454,10172.750943396226,1469.8735922281849,5182.0,12089.0,5.8226415094339625,1.4598984903267482,3,8,30,-0.03787878787878788,10.584374237188342,6.681818181818182,0.0,15.532132766911742,5.2272727272727275,-1.3333333333333333,463.67408028157917,339.0681818181818,0.0,2025_r11_R_HAM_lap15,HAM,2025,11,Austrian Grand Prix,R,15.0,70.717,MEDIUM,15.0,Ferrari,1.0,,,,2025_11_R,1,True,True,True,True,True,True,True,True,True
257,219.15175097276264,62.97454476165543,65.0,301.0,124.2,228.0,293.4,236.0,69.6420233463035,40.223742704279495,0.0,100.0,0.15953307392996108,0.17120622568093385,0.669260700389105,0.19455252918287938,0.3966282379558582,0.0,1.0,0.19455252918287938,7,0.05859375,0.91796875,10324.073929961089,1394.2071918232816,5145.0,11990.0,5.770428015564202,1.5854012368205286,3,8,36,-0.01171875,10.441051115997027,7.02734375,0.0,15.094733531671132,5.4296875,-0.41015625,460.131038171305,333.23046875,0.0,2025_r11_R_HAM_lap16,HAM,2025,11,Austrian Grand Prix,R,16.0,71.009,MEDIUM,16.0,Ferrari,1.0,,,,2025_11_R,1,True,True,True,True,True,True,True,True,True
256,216.65625,63.52278424035788,65.0,302.0,121.5,224.0,292.0,237.0,68.44140625,40.574072716923986,0.0,99.0,0.15234375,0.1484375,0.69921875,0.19921875,0.40019526483955303,0.0,1.0,0.19921875,7,0.050980392156862744,0.9254901960784314,10150.95703125,1468.8875456194248,4774.0,12038.0,5.79296875,1.569347739805099,3,8,33,-0.01568627450980392,10.475681860975444,7.0588235294117645,0.0,16.651121359226384,5.552941176470588,-1.003921568627451,492.68210589068053,354.4470588235294,0.0,2025_r11_R_HAM_lap17,HAM,2025,11,Austrian Grand Prix,R,17.0,71.064,MEDIUM,17.0,Ferrari,1.0,,,,2025_11_R,1,True,True,True,True,True,True,True,True,True
268,216.26865671641792,63.802734866665276,67.0,301.0,122.7,225.0,293.0,234.0,67.69776119402985,40.87472954734045,0.0,100.0,0.16417910447761194,0.13805970149253732,0.6977611940298507,0.22388059701492538,0.41762286168669877,0.0,1.0,0.22388059701492538,7,0.04868913857677903,0.9138576779026217,10061.108208955224,1483.0653040618731,5092.0,12219.0,5.83955223880597,1.5483478524437762,3,8,31,-0.00749063670411985,9.9237667589954,6.666666666666667,0.0,15.282551847693618,5.273408239700374,-0.250936329588015,492.01499223469443,350.4456928838951,0.0,2025_r11_R_HAM_lap18,HAM,2025,11,Austrian Grand Prix,R,18.0,71.052,MEDIUM,18.0,Ferrari,1.0,,,,2025_11_R,1,True,True,True,True,True,True,True,True,True
264,217.81439393939394,64.98733147393249,63.0,302.0,119.9,227.0,292.70000000000005,239.0,68.49621212121212,41.10960940701601,0.0,99.0,0.16287878787878787,0.16287878787878787,0.6742424242424242,0.19696969696969696,0.3984646186428275,0.0,1.0,0.19696969696969696,7,0.045627376425855515,0.9581749049429658,10080.73106060606,1544.0264949573987,4523.0,12034.0,5.8522727272727275,1.5369203273551302,3,8,31,-0.21673003802281368,10.05835006650843,6.574144486692015,0.0,16.243847925286893,5.277566539923955,1.9125475285171103,466.42174911561045,332.67300380228136,0.0,2025_r11_R_HAM_lap19,HAM,2025,11,Austrian Grand Prix,R,19.0,70.811,MEDIUM,19.0,Ferrari,1.0,,,,2025_11_R,1,True,True,True,True,True,True,True,True,True
