driver,feature,coef,abs_coef
OCO,num__rpm_diff_abs_max,-0.18409604762846096,0.18409604762846096
OCO,num__gear_min,-0.17919003585783128,0.17919003585783128
OCO,num__throttle_diff_mean,-0.1642015595704395,0.1642015595704395
OCO,num__rpm_std,-0.14937989183907044,0.14937989183907044
OCO,num__speed_diff_mean,0.1434459051241999,0.1434459051241999
OCO,num__throttle_max,0.08206185163302741,0.08206185163302741
OCO,num__rpm_diff_mean,0.045442509437140496,0.045442509437140496
OCO,num__brake_on_count,0.031964460953145035,0.031964460953145035
OCO,num__speed_mean,0.0,0.0
OCO,num__speed_std,0.0,0.0
OCO,num__speed_max,0.0,0.0
OCO,num__speed_median,0.0,0.0
OCO,num__speed_range,0.0,0.0
OCO,num__throttle_mean,0.0,0.0
OCO,num__throttle_std,0.0,0.0
OCO,num__throttle_median,0.0,0.0
OCO,num__brake_std,0.0,0.0
OCO,num__brake_max,0.0,0.0
OCO,num__rpm_mean,0.0,0.0
OCO,num__rpm_min,0.0,0.0
OCO,num__gear_mean,0.0,0.0
OCO,num__gear_max,0.0,0.0
OCO,num__gear_median,0.0,0.0
OCO,num__throttle_zero_frac,0.0,0.0
OCO,num__throttle_low_frac,0.0,0.0
OCO,num__throttle_full_frac,0.0,0.0
OCO,num__gear_change_count,0.0,0.0
OCO,num__speed_diff_std,0.0,0.0
OCO,num__speed_diff_abs_mean,0.0,0.0
OCO,num__throttle_diff_abs_max,0.0,0.0
OCO,num__brake_diff_abs_max,0.0,0.0
OCO,num__rpm_diff_abs_mean,0.0,0.0
OCO,num__speed_cv,0.0,0.0
OCO,num__rpm_cv,0.0,0.0
OCO,num__speed_p10,0.0,0.0
OCO,num__speed_p25,0.0,0.0
OCO,num__speed_p90,0.0,0.0
OCO,num__throttle_p10,0.0,0.0
OCO,num__throttle_p25,0.0,0.0
OCO,num__throttle_p75,0.0,0.0
OCO,num__throttle_p90,0.0,0.0
OCO,num__brake_p90,0.0,0.0
SAI,num__gear_mean,5.010179362548565,5.010179362548565
SAI,num__throttle_diff_std,-4.0127027711307495,4.0127027711307495
SAI,num__speed_std,-2.611981941267804,2.611981941267804
SAI,num__rpm_diff_std,2.41978610103224,2.41978610103224
SAI,num__rpm_diff_abs_mean,2.0933820315241074,2.0933820315241074
SAI,num__rpm_min,1.4236122777978666,1.4236122777978666
SAI,num__throttle_diff_abs_mean,1.413501965095756,1.413501965095756
SAI,num__speed_median,-1.235839611402385,1.235839611402385
SAI,num__rpm_cv,1.230678760988972,1.230678760988972
SAI,num__throttle_diff_abs_max,-1.230005429210365,1.230005429210365
SAI,num__gear_change_count,-0.8480983666229549,0.8480983666229549
SAI,num__gear_min,-0.6111515466410669,0.6111515466410669
SAI,num__brake_on_count,0.5024059747720002,0.5024059747720002
SAI,num__speed_diff_std,-0.4581336591809177,0.4581336591809177
SAI,num__brake_diff_std,-0.38359298048007395,0.38359298048007395
SAI,num__throttle_full_frac,0.2907095121020212,0.2907095121020212
SAI,num__throttle_p75,-0.21978376932873048,0.21978376932873048
SAI,num__rpm_std,0.13633832669801488,0.13633832669801488
SAI,num__rpm_diff_mean,-0.11598395505409148,0.11598395505409148
SAI,num__rpm_diff_abs_max,0.0447176492613907,0.0447176492613907
