experiment,model,fold,n_train,n_test,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_macro_f1,test_macro_f1
full_race_context,xgboost,5,3613,721,1.0,0.651872399445215,1.0,0.6294561508692798,1.0,0.6392925912587921
without_time_features,logistic_regression,1,3466,868,0.981534910559723,0.9170506912442397,0.9812823519830222,0.9260308796373782,0.9812924488249763,0.92082204287405
without_time_features,logistic_regression,2,3359,975,0.9806490026793688,0.8194871794871795,0.9810900095653636,0.8205347384855581,0.9810018943891053,0.8208849629983537
without_time_features,logistic_regression,3,3284,1050,0.9841656516443362,0.659047619047619,0.9845520282053035,0.6588882835201006,0.9845372649817916,0.6452255677989844
without_time_features,logistic_regression,4,3614,720,0.9784172661870504,0.8944444444444445,0.9790724863366803,0.8928509154315606,0.9789752889129073,0.8938224672026435
without_time_features,logistic_regression,5,3613,721,0.9839468585662884,0.8474341192787794,0.9843952490793854,0.8351290419922496,0.9843804560861045,0.8330316654376191
without_time_features,random_forest,1,3466,868,1.0,0.826036866359447,1.0,0.8340422343510326,1.0,0.8240727429014768
without_time_features,random_forest,2,3359,975,1.0,0.6317948717948718,1.0,0.6266237314597971,1.0,0.6138456622332933
without_time_features,random_forest,3,3284,1050,1.0,0.48,1.0,0.48474636887866496,1.0,0.4672422091073454
without_time_features,random_forest,4,3614,720,1.0,0.6541666666666667,1.0,0.6584602854127473,1.0,0.6206045236099549
without_time_features,random_forest,5,3613,721,1.0,0.5880721220527045,1.0,0.5707825238760773,1.0,0.5850253071018795
without_time_features,hist_gradient_boosting,1,3466,868,1.0,0.8675115207373272,1.0,0.8754274068575819,1.0,0.8685329042248879
without_time_features,hist_gradient_boosting,2,3359,975,1.0,0.6523076923076923,1.0,0.6495084197613472,1.0,0.6515113604460916
without_time_features,hist_gradient_boosting,3,3284,1050,1.0,0.45904761904761904,1.0,0.465250449303597,1.0,0.4463790134877993
without_time_features,hist_gradient_boosting,4,3614,720,1.0,0.7208333333333333,1.0,0.7255368696370394,1.0,0.6969301287966994
without_time_features,hist_gradient_boosting,5,3613,721,1.0,0.6255201109570042,1.0,0.6014130495203608,1.0,0.6129776312953437
without_time_features,xgboost,1,3466,868,1.0,0.8617511520737328,1.0,0.8704197898672703,1.0,0.8619394946521981
without_time_features,xgboost,2,3359,975,1.0,0.6502564102564102,1.0,0.6471368350618936,1.0,0.6463248506485403
without_time_features,xgboost,3,3284,1050,1.0,0.4542857142857143,1.0,0.45960451799794455,1.0,0.44485969496291566
without_time_features,xgboost,4,3614,720,1.0,0.7027777777777777,1.0,0.7084568439407148,1.0,0.6750880276779517
without_time_features,xgboost,5,3613,721,1.0,0.6435506241331485,1.0,0.6220807061707219,1.0,0.6327651976787785
style_core_no_time_no_race_context,logistic_regression,1,3466,868,0.9772071552221581,0.913594470046083,0.9769120050647533,0.9252241814348737,0.9769104524091891,0.9152490405391607
style_core_no_time_no_race_context,logistic_regression,2,3359,975,0.9785650491217625,0.7928205128205128,0.9790005787008204,0.7929259507081521,0.9789172879268143,0.7967034335498784
style_core_no_time_no_race_context,logistic_regression,3,3284,1050,0.9814250913520097,0.6961904761904761,0.9818067018973149,0.6960300065025401,0.9818509878278769,0.6919594447949683
style_core_no_time_no_race_context,logistic_regression,4,3614,720,0.9723298284449363,0.9083333333333333,0.9729259922756242,0.9061028770706191,0.9729495456350538,0.907307277890426
style_core_no_time_no_race_context,logistic_regression,5,3613,721,0.9828397453639635,0.8224687933425797,0.9833123050492241,0.815753684645194,0.9832958115513846,0.810408368402399
style_core_no_time_no_race_context,random_forest,1,3466,868,1.0,0.836405529953917,1.0,0.8452127593275683,1.0,0.835361339627996
style_core_no_time_no_race_context,random_forest,2,3359,975,1.0,0.6348717948717949,1.0,0.6292929630868741,1.0,0.6135450725516194
style_core_no_time_no_race_context,random_forest,3,3284,1050,1.0,0.45904761904761904,1.0,0.46299729834136044,1.0,0.43945607981792023
style_core_no_time_no_race_context,random_forest,4,3614,720,1.0,0.6513888888888889,1.0,0.6552700408388015,1.0,0.6196763529361589
style_core_no_time_no_race_context,random_forest,5,3613,721,1.0,0.6144244105409153,1.0,0.5969114295470428,1.0,0.6113755495148407
style_core_no_time_no_race_context,hist_gradient_boosting,1,3466,868,1.0,0.8709677419354839,1.0,0.8772634800242278,1.0,0.871126534227888
style_core_no_time_no_race_context,hist_gradient_boosting,2,3359,975,1.0,0.6533333333333333,1.0,0.6501889149102263,1.0,0.6508716227529738
