subset_name,penalty,C,class_weight,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,l2,0.5,balanced,5,0.9634703196347032,0.9634249471458773,0.9632647242270338,0.8703703703703703,0.8690909090909091,0.8680745341614907,0.09309994926433285,0.09519019006554308
distinctive_top5,l2,1.0,none,1,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8363636363636363,0.8363636363636363,0.8383399209486166,0.15446205170975824,0.15235213270352999
distinctive_top5,l2,1.0,none,2,0.9908256880733946,0.9908033826638478,0.9908027537033621,0.8727272727272727,0.8727272727272728,0.8722153209109731,0.11809841534612187,0.11858743279238904
distinctive_top5,l2,1.0,none,3,0.9908256880733946,0.9906976744186047,0.9908496732026144,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.13628023352794005,0.13407948686721072
distinctive_top5,l2,1.0,none,4,1.0,1.0,1.0,0.8333333333333334,0.8345454545454546,0.8323771880293618,0.16666666666666663,0.16762281197063822
distinctive_top5,l2,1.0,none,5,0.9817351598173516,0.9817124735729387,0.9817089103736608,0.8888888888888888,0.8872727272727273,0.8881987577639752,0.09284627092846276,0.09351015260968565
distinctive_top5,l2,1.0,balanced,1,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8363636363636363,0.8363636363636363,0.8383399209486166,0.15446205170975824,0.15235213270352999
distinctive_top5,l2,1.0,balanced,2,0.9908256880733946,0.9908033826638478,0.9908027537033621,0.8727272727272727,0.8727272727272728,0.8722153209109731,0.11809841534612187,0.11858743279238904
distinctive_top5,l2,1.0,balanced,3,0.9908256880733946,0.9906976744186047,0.9908496732026144,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.13628023352794005,0.13407948686721072
distinctive_top5,l2,1.0,balanced,4,1.0,1.0,1.0,0.8333333333333334,0.8345454545454546,0.8323771880293618,0.16666666666666663,0.16762281197063822
distinctive_top5,l2,1.0,balanced,5,0.9817351598173516,0.9817124735729387,0.9817089103736608,0.8888888888888888,0.8872727272727273,0.8881987577639752,0.09284627092846276,0.09351015260968565
distinctive_top5,l2,2.0,none,1,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8383399209486166,0.1636363636363637,0.16166007905138335
distinctive_top5,l2,2.0,none,2,1.0,1.0,1.0,0.8727272727272727,0.8727272727272728,0.8722153209109731,0.12727272727272732,0.1277846790890269
distinctive_top5,l2,2.0,none,3,0.9954128440366973,0.9953488372093023,0.9953998678122934,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.14086738949124278,0.1386296814768897
distinctive_top5,l2,2.0,none,4,1.0,1.0,1.0,0.8333333333333334,0.8345454545454546,0.8323771880293618,0.16666666666666663,0.16762281197063822
distinctive_top5,l2,2.0,none,5,0.9954337899543378,0.9954545454545455,0.9954539584140513,0.8703703703703703,0.8690909090909091,0.870016939582157,0.1250634195839675,0.1254370188318943
distinctive_top5,l2,2.0,balanced,1,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8383399209486166,0.1636363636363637,0.16166007905138335
distinctive_top5,l2,2.0,balanced,2,1.0,1.0,1.0,0.8727272727272727,0.8727272727272728,0.8722153209109731,0.12727272727272732,0.1277846790890269
distinctive_top5,l2,2.0,balanced,3,0.9954128440366973,0.9953488372093023,0.9953998678122934,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.14086738949124278,0.1386296814768897
distinctive_top5,l2,2.0,balanced,4,1.0,1.0,1.0,0.8333333333333334,0.8345454545454546,0.8323771880293618,0.16666666666666663,0.16762281197063822
distinctive_top5,l2,2.0,balanced,5,0.9954337899543378,0.9954545454545455,0.9954539584140513,0.8703703703703703,0.8690909090909091,0.870016939582157,0.1250634195839675,0.1254370188318943
distinctive_top5,l2,4.0,none,1,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8383399209486166,0.1636363636363637,0.16166007905138335
distinctive_top5,l2,4.0,none,2,1.0,1.0,1.0,0.8545454545454545,0.8545454545454545,0.850925733305596,0.1454545454545455,0.14907426669440405
distinctive_top5,l2,4.0,none,3,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8377225672877847,0.1636363636363637,0.16227743271221529
distinctive_top5,l2,4.0,none,4,1.0,1.0,1.0,0.8518518518518519,0.8527272727272728,0.8519047619047619,0.14814814814814814,0.14809523809523806
distinctive_top5,l2,4.0,none,5,1.0,1.0,1.0,0.8703703703703703,0.8690909090909091,0.870016939582157,0.12962962962962965,0.12998306041784302
distinctive_top5,l2,4.0,balanced,1,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8383399209486166,0.1636363636363637,0.16166007905138335
distinctive_top5,l2,4.0,balanced,2,1.0,1.0,1.0,0.8545454545454545,0.8545454545454545,0.850925733305596,0.1454545454545455,0.14907426669440405
distinctive_top5,l2,4.0,balanced,3,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8365970261622436,0.1636363636363637,0.16340297383775637
distinctive_top5,l2,4.0,balanced,4,1.0,1.0,1.0,0.8518518518518519,0.8527272727272728,0.8519047619047619,0.14814814814814814,0.14809523809523806
distinctive_top5,l2,4.0,balanced,5,1.0,1.0,1.0,0.8703703703703703,0.8690909090909091,0.870016939582157,0.12962962962962965,0.12998306041784302
distinctive_top5,l2,8.0,none,1,1.0,1.0,1.0,0.8181818181818182,0.8181818181818181,0.8218181818181819,0.18181818181818177,0.1781818181818181
distinctive_top5,l2,8.0,none,2,1.0,1.0,1.0,0.8545454545454545,0.8545454545454545,0.850925733305596,0.1454545454545455,0.14907426669440405
distinctive_top5,l2,8.0,none,3,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8365970261622436,0.1636363636363637,0.16340297383775637
distinctive_top5,l2,8.0,none,4,1.0,1.0,1.0,0.8518518518518519,0.8527272727272728,0.8519047619047619,0.14814814814814814,0.14809523809523806
distinctive_top5,l2,8.0,none,5,1.0,1.0,1.0,0.8703703703703703,0.8690909090909091,0.870016939582157,0.12962962962962965,0.12998306041784302
distinctive_top5,l2,8.0,balanced,1,1.0,1.0,1.0,0.8181818181818182,0.8181818181818181,0.8218181818181819,0.18181818181818177,0.1781818181818181
distinctive_top5,l2,8.0,balanced,2,1.0,1.0,1.0,0.8545454545454545,0.8545454545454545,0.850925733305596,0.1454545454545455,0.14907426669440405
distinctive_top5,l2,8.0,balanced,3,1.0,1.0,1.0,0.8363636363636363,0.8363636363636363,0.8365970261622436,0.1636363636363637,0.16340297383775637
distinctive_top5,l2,8.0,balanced,4,1.0,1.0,1.0,0.8518518518518519,0.8527272727272728,0.8519047619047619,0.14814814814814814,0.14809523809523806
distinctive_top5,l2,8.0,balanced,5,1.0,1.0,1.0,0.8703703703703703,0.8690909090909091,0.870016939582157,0.12962962962962965,0.12998306041784302
distinctive_top5,l1,0.05,none,1,0.6192660550458715,0.6175475687103594,0.6041901081374765,0.5636363636363636,0.5636363636363637,0.5674036725801431,0.05562969140950791,0.03678643555733341
distinctive_top5,l1,0.05,none,2,0.6330275229357798,0.6316067653276954,0.6190279600778159,0.5818181818181818,0.5818181818181818,0.5722402597402597,0.051209341117598006,0.04678770033755619
distinctive_top5,l1,0.05,none,3,0.5779816513761468,0.5764270613107823,0.5669642777536729,0.6727272727272727,0.6727272727272727,0.6327871387871389,-0.09474562135112596,-0.06582286103346602
distinctive_top5,l1,0.05,none,4,0.5981735159817352,0.5966173361522199,0.5811063717547303,0.5740740740740741,0.5727272727272728,0.5593040293040292,0.024099441907661112,0.021802342450701118
distinctive_top5,l1,0.05,none,5,0.5707762557077626,0.5702959830866807,0.5595431213332216,0.5185185185185185,0.5127272727272727,0.49516290726817036,0.05225773718924409,0.06438021406505123
distinctive_top5,l1,0.05,balanced,1,0.6192660550458715,0.6176532769556025,0.6043892613414303,0.5636363636363636,0.5636363636363637,0.5674036725801431,0.05562969140950791,0.036985588761287214
distinctive_top5,l1,0.05,balanced,2,0.6422018348623854,0.6409090909090909,0.6298505258182677,0.5818181818181818,0.5818181818181818,0.5722402597402597,0.06038365304420357,0.05761026607800801
distinctive_top5,l1,0.05,balanced,3,0.591743119266055,0.5903805496828752,0.5812064279806215,0.6727272727272727,0.6727272727272727,0.633770416379112,-0.08098415346121768,-0.052563988398490524
distinctive_top5,l1,0.05,balanced,4,0.6073059360730594,0.6059196617336153,0.594464441456127,0.5740740740740741,0.5727272727272728,0.5593040293040292,0.03323186199898531,0.03516041215209775
distinctive_top5,l1,0.05,balanced,5,0.5662100456621004,0.5659619450317125,0.5550867288496154,0.5185185185185185,0.5127272727272727,0.49516290726817036,0.047691527143581935,0.05992382158144505
distinctive_top5,l1,0.1,none,1,0.7201834862385321,0.7193446088794926,0.7148284357586684,0.6909090909090909,0.6909090909090909,0.6919047619047618,0.029274395329441205,0.02292367385390659
distinctive_top5,l1,0.1,none,2,0.7201834862385321,0.7191331923890063,0.7161149425287355,0.6,0.6,0.6016507936507935,0.12018348623853214,0.11446414887794198
distinctive_top5,l1,0.1,none,3,0.6926605504587156,0.6919661733615221,0.6860762399274412,0.7454545454545455,0.7454545454545454,0.7405042016806723,-0.05279399499582993,-0.05442796175323117
