dataset,group_type,group_name,speed_mean,speed_max,speed_std,speed_min,throttle_mean,throttle_std,throttle_zero_frac,throttle_mid_frac,throttle_full_frac,throttle_diff_std,throttle_diff_abs_mean,brake_active_frac,brake_on_count,brake_std,gear_mean,gear_std,gear_change_count,rpm_mean,rpm_std,rpm_max,rpm_diff_std,speed_q90
short_qualifying_2023_2025,Team,Red Bull Racing,222.80603837900114,329.0810810810811,69.14311622060637,77.24324324324324,72.26734224677325,40.57094854055754,0.17690036292332667,0.11294048691535308,0.6289227498433282,17.91452462506242,5.895165585952418,0.1667989542226277,18.135135135135137,0.37015877773784706,5.573375513420919,1.74823201268496,35.445945945945944,10424.5820096571,1313.972378104447,12142.851351351352,487.00803208006795,
short_qualifying_2023_2025,Team,Williams,221.40249000072941,328.46753246753246,69.10221007671534,76.1948051948052,71.07675102900265,39.95759721561369,0.16750470741680956,0.15012337018054095,0.592489965541714,16.556211079284516,5.632739571389873,0.18373583930130902,19.12987012987013,0.38441925725863735,5.7693135320584235,1.7545224060347386,35.94805194805195,10413.64871735024,1354.165362909317,12313.207792207791,487.9800633064502,
short_qualifying_2023_2025,Driver,ALB,220.32537561513323,328.4727272727273,69.35962235037039,75.52727272727273,70.37931741473855,40.300192975366166,0.174056139305541,0.14937106650168752,0.5838165155683953,16.761255274088235,5.6047812036878994,0.18492582814138125,19.254545454545454,0.38558912550123553,5.732849476195051,1.7695233105196582,36.89090909090909,10406.775108371665,1355.7710304022094,12344.309090909092,483.01198249160154,
short_qualifying_2023_2025,Driver,ALO,220.7654541060419,327.6545454545454,69.15753916167364,74.74545454545455,71.57112533764175,39.84219870925792,0.1716729965506955,0.13616194429052192,0.6254009389066016,17.518845269634696,6.018965744122601,0.1714008682489576,19.436363636363637,0.37269418677615496,5.648884147032747,1.8570663511244367,45.03636363636364,10513.66767739262,1264.494067603569,12154.945454545454,473.827516386098,
short_qualifying_2023_2025,Driver,GAS,220.55246609988157,327.6727272727273,68.95444646223744,77.8,72.09145758252114,40.103133741820585,0.18798549052531027,0.12988854361012392,0.6120658370067497,17.075762357339375,5.7611364471134,0.16198329774634995,17.763636363636362,0.36571017368501507,5.473401942160493,1.774774663710756,38.2,10446.559881585119,1229.7047844255542,12117.963636363636,481.748204963159,
short_qualifying_2023_2025,Driver,HAM,221.38469446869593,328.05454545454546,69.25129023397484,76.92727272727272,73.50256340532384,38.23119029065775,0.11392584261773182,0.14318228000462352,0.6106542232970068,15.989078405336654,5.704049483527376,0.1800138311407719,19.363636363636363,0.38088830145948677,5.6961490497469915,1.8120622271559754,38.85454545454545,10507.264003593347,1311.3463997208428,12330.563636363637,502.0405354435971,
short_qualifying_2023_2025,Driver,HUL,220.60311808625482,329.27272727272725,69.77622837780223,77.05454545454545,71.73868501008326,40.0823517776553,0.16800976458943342,0.14185535904909674,0.614231790302479,17.528636199778987,6.046273836483567,0.17336235848055048,20.2,0.3763557798278971,5.590070022058473,1.7588575937099515,38.50909090909091,10495.348914319282,1321.19392737278,12331.709090909091,501.2848191388278,
short_qualifying_2023_2025,Driver,LEC,222.60841428055056,328.54545454545456,69.17471375404104,77.67272727272727,73.9973391224821,37.06228115362807,0.06794020658278292,0.16281949445574578,0.617286308687444,16.000440955432495,5.619385095623683,0.17436240091357574,21.763636363636362,0.376515409204639,5.652400089432694,1.725456781263431,37.45454545454545,10514.099423521251,1264.7582631390112,12186.345454545455,477.6499802281452,
short_qualifying_2023_2025,Driver,NOR,222.61227495040225,326.1272727272727,68.3601271155232,77.58181818181818,70.75960058385185,40.46065365749584,0.184396150582581,0.12439348830888945,0.6149249212556885,17.093087973184673,5.861808464486667,0.1569743962757018,18.236363636363638,0.36029912360486355,5.589679869412974,1.8193150403845713,38.61818181818182,10500.701832558212,1204.38196976537,12257.327272727272,484.2680579260452,
short_qualifying_2023_2025,Driver,OCO,220.16152198787125,327.537037037037,69.21895559259347,76.35185185185185,72.26187626421584,39.71998778030293,0.16446708969201235,0.1361698038271021,0.6032430937360432,16.61740944474676,5.582262615885541,0.19986763177934336,23.48148148148148,0.3976345332498831,5.559192760074374,1.7297552180138966,38.03703703703704,10340.391214160978,1294.8220318007666,12000.962962962964,481.6436180327403,
