setup,merged_rows
Kwalifikacje 2023-2025,314.0
Kwalifikacje 2023-2025,317.0
Kwalifikacje 2023-2025,311.0
Kwalifikacje 2023-2025,304.0
Kwalifikacje 2018-2025,273.0
Kwalifikacje 2018-2025,282.0
Kwalifikacje 2018-2025,275.0
Kwalifikacje 2018-2025,297.0
Kwalifikacje 2018-2025,307.0
Kwalifikacje 2018-2025,302.0
Kwalifikacje 2018-2025,302.0
Kwalifikacje 2018-2025,437.0
Kwalifikacje 2018-2025,309.0
Kwalifikacje 2018-2025,318.0
Kwalifikacje 2018-2025,313.0
Kwalifikacje 2018-2025,313.0
Kwalifikacje 2018-2025,309.0
Kwalifikacje 2018-2025,342.0
Kwalifikacje 2018-2025,350.0
Kwalifikacje 2018-2025,346.0
Kwalifikacje 2018-2025,347.0
Kwalifikacje 2018-2025,343.0
Kwalifikacje 2018-2025,256.0
Kwalifikacje 2018-2025,266.0
Kwalifikacje 2018-2025,265.0
Kwalifikacje 2018-2025,262.0
Kwalifikacje 2018-2025,259.0
Kwalifikacje 2018-2025,240.0
Kwalifikacje 2018-2025,245.0
Kwalifikacje 2018-2025,242.0
Kwalifikacje 2018-2025,243.0
Kwalifikacje 2018-2025,239.0
Kwalifikacje 2018-2025,245.0
Kwalifikacje 2018-2025,242.0
Kwalifikacje 2018-2025,243.0
Kwalifikacje 2018-2025,239.0
Kwalifikacje 2018-2025,303.0
Kwalifikacje 2018-2025,310.0
Kwalifikacje 2018-2025,310.0
Kwalifikacje 2018-2025,309.0
Kwalifikacje 2018-2025,305.0
Kwalifikacje 2018-2025,213.0
Kwalifikacje 2018-2025,218.0
Kwalifikacje 2018-2025,219.0
Kwalifikacje 2018-2025,218.0
Kwalifikacje 2018-2025,215.0
Kwalifikacje 2018-2025,289.0
Kwalifikacje 2018-2025,295.0
Kwalifikacje 2018-2025,296.0
Kwalifikacje 2018-2025,297.0
Kwalifikacje 2018-2025,292.0
Kwalifikacje 2018-2025,245.0
Kwalifikacje 2018-2025,245.0
Kwalifikacje 2018-2025,241.0
Kwalifikacje 2018-2025,268.0
Kwalifikacje 2018-2025,276.0
Kwalifikacje 2018-2025,273.0
Kwalifikacje 2018-2025,272.0
Kwalifikacje 2018-2025,270.0
Kwalifikacje 2018-2025,324.0
Kwalifikacje 2018-2025,332.0
Kwalifikacje 2018-2025,330.0
Kwalifikacje 2018-2025,332.0
Kwalifikacje 2018-2025,325.0
Kwalifikacje 2018-2025,308.0
Kwalifikacje 2018-2025,314.0
Kwalifikacje 2018-2025,315.0
Kwalifikacje 2018-2025,319.0
Kwalifikacje 2018-2025,314.0
Kwalifikacje 2018-2025,310.0
Kwalifikacje 2018-2025,317.0
Kwalifikacje 2018-2025,317.0
Kwalifikacje 2018-2025,319.0
Kwalifikacje 2018-2025,319.0
Kwalifikacje 2018-2025,252.0
Kwalifikacje 2018-2025,257.0
Kwalifikacje 2018-2025,256.0
Kwalifikacje 2018-2025,257.0
Kwalifikacje 2018-2025,252.0
Kwalifikacje 2018-2025,226.0
Kwalifikacje 2018-2025,230.0
Kwalifikacje 2018-2025,231.0
Kwalifikacje 2018-2025,233.0
