subset_name,config_name,config_type,n_features,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,only_throttle,family_only,13,4,0.6438356164383562,0.6436575052854123,0.6364063980248515,0.5925925925925926,0.5854545454545454,0.5736506527528199,0.051243023845763624,0.06275574527203165
distinctive_top5,only_throttle,family_only,13,5,0.6529680365296804,0.6521141649048625,0.6446415572731362,0.5370370370370371,0.5363636363636364,0.5345121697524443,0.1159309994926433,0.1101293875206919
distinctive_top5,only_brake,family_only,6,1,0.3073394495412844,0.306553911205074,0.2815626940176236,0.32727272727272727,0.32727272727272727,0.3010238205484385,-0.019933277731442878,-0.019461126530814887
distinctive_top5,only_brake,family_only,6,2,0.3073394495412844,0.30676532769556025,0.28909057863037785,0.3090909090909091,0.3090909090909091,0.25621693121693123,-0.0017514595496246899,0.032873647413446616
distinctive_top5,only_brake,family_only,6,3,0.3348623853211009,0.3343551797040169,0.3162036190559111,0.2545454545454545,0.2545454545454545,0.21781954887218044,0.08031693077564639,0.09838407018373066
distinctive_top5,only_brake,family_only,6,4,0.319634703196347,0.3181818181818182,0.28796998762083853,0.25925925925925924,0.2636363636363636,0.2343700159489633,0.06037544393708777,0.05359997167187522
distinctive_top5,only_brake,family_only,6,5,0.3105022831050228,0.3108879492600423,0.28404642733578267,0.3333333333333333,0.3290909090909091,0.32335042735042735,-0.0228310502283105,-0.03930400001464468
distinctive_top5,only_powertrain,family_only,12,1,0.5091743119266054,0.5100422832980973,0.5056196967589373,0.4909090909090909,0.4909090909090909,0.4924912280701754,0.018265221017514544,0.01312846868876183
distinctive_top5,only_powertrain,family_only,12,2,0.5321100917431193,0.5330866807610993,0.5286996924406068,0.5272727272727272,0.5272727272727272,0.5332528180354267,0.004837364470392069,-0.004553125594819907
distinctive_top5,only_powertrain,family_only,12,3,0.5321100917431193,0.5329809725158563,0.5293251159736142,0.5636363636363636,0.5636363636363637,0.5597037744863831,-0.031526271893244306,-0.030378658512768886
distinctive_top5,only_powertrain,family_only,12,4,0.54337899543379,0.543446088794926,0.5372037093015237,0.4444444444444444,0.450909090909091,0.4342857142857143,0.09893455098934556,0.10291799501580945
