team,leader_driver,teammate_driver,season,round,session_key,event_name,LapTimeSeconds_std_signed_gap,LapTimeSeconds_std_abs_gap,speed_min_std_signed_gap,speed_min_std_abs_gap,speed_mean_std_signed_gap,speed_mean_std_abs_gap,throttle_full_frac_std_signed_gap,throttle_full_frac_std_abs_gap,throttle_mid_frac_std_signed_gap,throttle_mid_frac_std_abs_gap,throttle_diff_abs_mean_std_signed_gap,throttle_diff_abs_mean_std_abs_gap,brake_active_frac_std_signed_gap,brake_active_frac_std_abs_gap,brake_on_count_std_signed_gap,brake_on_count_std_abs_gap,rpm_diff_abs_mean_std_signed_gap,rpm_diff_abs_mean_std_abs_gap,gear_change_count_std_signed_gap,gear_change_count_std_abs_gap,mean_style_distance_proxy,mean_signed_proxy
Red Bull Racing,VER,PER,2023,5,2023_5_Q,Miami Grand Prix,-0.002525394597830171,0.002525394597830171,0.12796923760976425,0.12796923760976425,-0.060660251779828964,0.060660251779828964,-0.2729067471886732,0.2729067471886732,0.08104040350505319,0.08104040350505319,0.5705342000123463,0.5705342000123463,0.07362524451306231,0.07362524451306231,0.0,0.0,0.0640013654219365,0.0640013654219365,-0.2659378784085697,0.2659378784085697,0.15192007230370647,0.03151401790872605
Red Bull Racing,VER,PER,2023,6,2023_6_Q,Monaco Grand Prix,-0.23242983613361984,0.23242983613361984,0.06398461880488213,0.06398461880488213,0.484166423447896,0.484166423447896,0.7321755812389772,0.7321755812389772,-0.9837336653719075,0.9837336653719075,0.7262164157352171,0.7262164157352171,-0.6304600137447017,0.6304600137447017,0.0,0.0,0.32657041790413255,0.32657041790413255,-0.39890681761285457,0.39890681761285457,0.4578643789994189,0.008758312426802134
Red Bull Racing,VER,PER,2023,9,2023_9_Q,Austrian Grand Prix,-0.0560263468185255,0.0560263468185255,0.19195385641464635,0.19195385641464635,-0.024737025608427134,0.024737025608427134,0.1760983493896811,0.1760983493896811,-0.36940925269171593,0.36940925269171593,0.0766952297100843,0.0766952297100843,-0.008730487999233467,0.008730487999233467,0.0,0.0,0.2392422011396706,0.2392422011396706,-0.6648446960214243,0.6648446960214243,0.18077374457934087,-0.043975817248524396
Red Bull Racing,VER,PER,2024,10,2024_10_Q,Spanish Grand Prix,-0.037506786434438916,0.037506786434438916,-0.19195385641464635,0.19195385641464635,-0.02468360504688399,0.02468360504688399,0.0313235563059855,0.0313235563059855,0.1621085926830007,0.1621085926830007,-0.010108459040915129,0.010108459040915129,-0.03349073346052628,0.03349073346052628,0.0,0.0,0.0449158864143059,0.0449158864143059,-0.13296893920428485,0.13296893920428485,0.06690604150049877,-0.019236434419840336
Red Bull Racing,VER,PER,2024,11,2024_11_Q,Austrian Grand Prix,-0.07763250059996274,0.07763250059996274,-0.12796923760976425,0.12796923760976425,0.15120861547384828,0.15120861547384828,0.027061549642088473,0.027061549642088473,0.07881749620507243,0.07881749620507243,0.41393823323741763,0.41393823323741763,-0.8545968250237952,0.8545968250237952,0.4174881748335564,0.4174881748335564,-0.32744539738790995,0.32744539738790995,-0.2659378784085697,0.2659378784085697,0.27420959084219854,-0.056506776963801866
Red Bull Racing,VER,PER,2024,15,2024_15_Q,Dutch Grand Prix,-0.03619732256889779,0.03619732256889779,-0.3199230940244106,0.3199230940244106,0.20391050543661343,0.20391050543661343,-0.04672866196627288,0.04672866196627288,-0.16984473355277868,0.16984473355277868,-0.7238554469562024,0.7238554469562024,-0.0950552786006018,0.0950552786006018,-0.4174881748335564,0.4174881748335564,-0.18233511934544058,0.18233511934544058,-0.6648446960214243,0.6648446960214243,0.2860183033306199,-0.24523620224329717
Red Bull Racing,VER,PER,2024,16,2024_16_Q,Italian Grand Prix,-0.0374132533011855,0.0374132533011855,0.2559384752195285,0.2559384752195285,0.12401616500315824,0.12401616500315824,-0.2113630838058474,0.2113630838058474,0.19820477265374872,0.19820477265374872,0.1623233021384754,0.1623233021384754,0.13649334481468028,0.13649334481468028,0.4174881748335564,0.4174881748335564,0.006456261966224839,0.006456261966224839,-0.13296893920428485,0.13296893920428485,0.168266577294069,0.09191752203180546
Red Bull Racing,VER,PER,2024,17,2024_17_Q,Azerbaijan Grand Prix,0.01964195798312222,0.01964195798312222,0.3839077128292927,0.3839077128292927,-0.011988234456971156,0.011988234456971156,-0.12947182094334397,0.12947182094334397,-0.014297068391918489,0.014297068391918489,0.050588066317810466,0.050588066317810466,0.4340681110622684,0.4340681110622684,0.4174881748335564,0.4174881748335564,-0.05526187727683634,0.05526187727683634,-0.39890681761285457,0.39890681761285457,0.19156198417079745,0.06957682043441257
Red Bull Racing,VER,PER,2024,18,2024_18_Q,Singapore Grand Prix,-0.08408628679441496,0.08408628679441496,0.12796923760976425,0.12796923760976425,0.000427957490981047,0.000427957490981047,-0.11168163789904899,0.11168163789904899,0.033827450565195476,0.033827450565195476,0.36190930946108196,0.36190930946108196,-0.13198215160014995,0.13198215160014995,0.0,0.0,-0.2922025549620421,0.2922025549620421,-1.3296893920428485,1.3296893920428485,0.2473775978425527,-0.14255080681714818
Red Bull Racing,VER,PER,2024,19,2024_19_Q,United States Grand Prix,-0.06163833481370366,0.06163833481370366,-0.19195385641464635,0.19195385641464635,-0.016913486592232563,0.016913486592232563,0.1734896878646366,0.1734896878646366,-0.4141121455578845,0.4141121455578845,-0.31328752682585237,0.31328752682585237,-0.14125282087046087,0.14125282087046087,0.0,0.0,0.2538032379074506,0.2538032379074506,0.930782574429994,0.930782574429994,0.2497233671276861,0.0218917329127301
Red Bull Racing,VER,PER,2024,1,2024_1_Q,Bahrain Grand Prix,-0.03348486170456212,0.03348486170456212,0.2559384752195285,0.2559384752195285,0.09876151121932422,0.09876151121932422,-0.02740787509305385,0.02740787509305385,0.08405938489358086,0.08405938489358086,0.048911299119451024,0.048911299119451024,-0.3305616855733095,0.3305616855733095,0.0,0.0,-0.14312680629557542,0.14312680629557542,-0.7978136352257091,0.7978136352257091,0.18200655343440947,-0.08447241934403253
Red Bull Racing,VER,PER,2024,20,2024_20_Q,Mexico City Grand Prix,-0.13468771188427048,0.13468771188427048,0.06398461880488213,0.06398461880488213,0.12171735610609447,0.12171735610609447,-0.08258479563952023,0.08258479563952023,-0.19484006470897547,0.19484006470897547,0.7512411870603536,0.7512411870603536,-0.006894243630476326,0.006894243630476326,-0.4174881748335564,0.4174881748335564,0.5485917835564296,0.5485917835564296,-0.13296893920428485,0.13296893920428485,0.24549988754288435,0.0516071015626676
Red Bull Racing,VER,PER,2024,22,2024_22_Q,Las Vegas Grand Prix,-0.12701799495752786,0.12701799495752786,-0.06398461880488213,0.06398461880488213,0.08121091405724293,0.08121091405724293,0.06946204632117074,0.06946204632117074,0.0121208648739744,0.0121208648739744,-0.08920126800300895,0.08920126800300895,-0.4424901620150874,0.4424901620150874,0.0,0.0,-0.016151529870023214,0.016151529870023214,-0.6648446960214243,0.6648446960214243,0.15664840949243417,-0.12408964444195658
Red Bull Racing,VER,PER,2024,23,2024_23_Q,Qatar Grand Prix,-0.0846474855939341,0.0846474855939341,0.3839077128292927,0.3839077128292927,0.22536988601955346,0.22536988601955346,0.1479287085636946,0.1479287085636946,-0.3917386837174802,0.3917386837174802,-0.8005962759646226,0.8005962759646226,-0.2808637889989867,0.2808637889989867,0.0,0.0,-0.5109745078509427,0.5109745078509427,-1.0637515136342788,1.0637515136342788,0.38897785631727866,-0.23753659483477044
