season,round,event_name,session_name,session_date,country,location,official_event_name,n_results_rows,n_laps_rows,n_unique_drivers_in_laps,lap_columns_count,results_columns_count,has_compound,has_tyre_life,has_track_status,has_is_personal_best,has_lap_time,has_sector1,has_sector2,has_sector3,n_weather_rows,weather_columns_count,max_rainfall,load_error_type,load_error_msg
2023,11,Hungarian Grand Prix,Qualifying,2023-07-22 14:00:00,Hungary,Budapest,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,20.0,330.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,False,,
2023,12,Belgian Grand Prix,Qualifying,2023-07-28 15:00:00,Belgium,Spa-Francorchamps,FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023,20.0,341.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,95.0,8.0,True,,
2023,13,Dutch Grand Prix,Qualifying,2023-08-26 13:00:00,Netherlands,Zandvoort,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,20.0,472.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,100.0,8.0,True,,
2023,14,Italian Grand Prix,Qualifying,2023-09-02 14:00:00,Italy,Monza,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023 ,20.0,327.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,79.0,8.0,False,,
2023,15,Singapore Grand Prix,Qualifying,2023-09-16 13:00:00,Singapore,Marina Bay,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023 ,20.0,297.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,110.0,8.0,False,,
2023,16,Japanese Grand Prix,Qualifying,2023-09-23 06:00:00,Japan,Suzuka,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023 ,20.0,237.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,92.0,8.0,False,,
2023,17,Qatar Grand Prix,Qualifying,2023-10-06 17:00:00,Qatar,Lusail,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023,20.0,344.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,83.0,8.0,False,,
2023,18,United States Grand Prix,Qualifying,2023-10-20 21:00:00,United States,Austin,FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023,20.0,293.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,79.0,8.0,False,,
2023,19,Mexico City Grand Prix,Qualifying,2023-10-28 21:00:00,Mexico,Mexico City,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023,20.0,267.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,False,,
2023,20,São Paulo Grand Prix,Qualifying,2023-11-03 18:00:00,Brazil,São Paulo,FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023,20.0,293.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,86.0,8.0,True,,
