experiment,model,fold,n_train,n_test,train_groups,test_groups,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,balanced_accuracy_gap,macro_f1_gap
experiment_a_with_time_features,xgboost,5,613,153,44,11,1.0,1.0,1.0,0.43137254901960786,0.4324675324675324,0.4277993507037472,0.5686274509803921,0.5675324675324676,0.5722006492962528
experiment_b_without_time_features,logistic_regression,1,613,153,44,11,0.8384991843393148,0.8386816671700392,0.8380919286131766,0.6405228758169934,0.6415584415584416,0.6403550379831092,0.1979763085223214,0.19712322561159767,0.19773689063006739
experiment_b_without_time_features,logistic_regression,2,613,153,44,11,0.833605220228385,0.8339247961340984,0.8327213433324291,0.6862745098039216,0.687012987012987,0.6873422692595624,0.14733071042446344,0.14691180912111146,0.14537907407286665
experiment_b_without_time_features,logistic_regression,3,613,153,44,11,0.8809135399673735,0.8810027182120205,0.8810862475218241,0.6405228758169934,0.6402597402597402,0.6354035855432889,0.24039066415038013,0.24074297795228028,0.24568266197853517
experiment_b_without_time_features,logistic_regression,4,612,154,44,11,0.8676470588235294,0.8677891875566293,0.866764042274333,0.6753246753246753,0.6753246753246752,0.671019974177869,0.1923223834988541,0.19246451223195404,0.19574406809646405
experiment_b_without_time_features,logistic_regression,5,613,153,44,11,0.8499184339314845,0.8499697976442161,0.8496094654746901,0.5555555555555556,0.5571428571428572,0.5516846848533002,0.2943628783759289,0.29282694050135893,0.29792478062138983
experiment_b_without_time_features,random_forest,1,613,153,44,11,1.0,1.0,1.0,0.49019607843137253,0.48961038961038955,0.4778771615434885,0.5098039215686274,0.5103896103896104,0.5221228384565115
experiment_b_without_time_features,random_forest,2,613,153,44,11,1.0,1.0,1.0,0.477124183006536,0.4766233766233766,0.45382836642903046,0.522875816993464,0.5233766233766234,0.5461716335709695
experiment_b_without_time_features,random_forest,3,613,153,44,11,1.0,1.0,1.0,0.49019607843137253,0.4909090909090908,0.49003839237123853,0.5098039215686274,0.5090909090909093,0.5099616076287614
experiment_b_without_time_features,random_forest,4,612,154,44,11,1.0,1.0,1.0,0.5,0.5,0.4846735295868999,0.5,0.5,0.5153264704131001
experiment_b_without_time_features,random_forest,5,613,153,44,11,1.0,1.0,1.0,0.41830065359477125,0.42077922077922064,0.4060194307608101,0.5816993464052287,0.5792207792207793,0.59398056923919
experiment_b_without_time_features,hist_gradient_boosting,1,613,153,44,11,1.0,1.0,1.0,0.5947712418300654,0.5961038961038961,0.5813965178332617,0.40522875816993464,0.40389610389610386,0.41860348216673826
experiment_b_without_time_features,hist_gradient_boosting,2,613,153,44,11,1.0,1.0,1.0,0.5032679738562091,0.5025974025974026,0.4768210876334446,0.49673202614379086,0.4974025974025974,0.5231789123665553
experiment_b_without_time_features,hist_gradient_boosting,3,613,153,44,11,1.0,1.0,1.0,0.477124183006536,0.4772727272727272,0.4768695218188516,0.522875816993464,0.5227272727272728,0.5231304781811483
experiment_b_without_time_features,hist_gradient_boosting,4,612,154,44,11,1.0,1.0,1.0,0.538961038961039,0.538961038961039,0.5421083584949131,0.461038961038961,0.461038961038961,0.4578916415050869
experiment_b_without_time_features,hist_gradient_boosting,5,613,153,44,11,1.0,1.0,1.0,0.46405228758169936,0.4649350649350648,0.46501843172394175,0.5359477124183006,0.5350649350649352,0.5349815682760583
experiment_b_without_time_features,xgboost,1,613,153,44,11,1.0,1.0,1.0,0.5555555555555556,0.557142857142857,0.5338351485894913,0.4444444444444444,0.44285714285714295,0.4661648514105087
experiment_b_without_time_features,xgboost,2,613,153,44,11,1.0,1.0,1.0,0.5163398692810458,0.5155844155844156,0.5070494130559896,0.4836601307189542,0.4844155844155844,0.4929505869440104
experiment_b_without_time_features,xgboost,3,613,153,44,11,1.0,1.0,1.0,0.46405228758169936,0.46363636363636357,0.46300454305569394,0.5359477124183006,0.5363636363636364,0.5369954569443061
experiment_b_without_time_features,xgboost,4,612,154,44,11,1.0,1.0,1.0,0.5,0.4999999999999999,0.5045719889786577,0.5,0.5000000000000001,0.49542801102134226
experiment_b_without_time_features,xgboost,5,613,153,44,11,1.0,1.0,1.0,0.43137254901960786,0.4324675324675324,0.42966208812073475,0.5686274509803921,0.5675324675324676,0.5703379118792653
