dataset,feature_config,result_name,target,team_model,driver_model,n_samples,n_drivers,n_teams,n_groups,n_features,accuracy,balanced_accuracy,macro_f1
race_2025_clean_laps_top5,no_time_features,direct_driver,Driver,,logistic_l2,4334,5,4,18,44,0.7914167051222889,0.7923038917604943,0.7903651779681751
race_2025_clean_laps_top5,no_time_features,direct_team,Team,logistic_l2,,4334,5,4,18,44,0.8299492385786802,0.8331511023751811,0.8233336862946733
race_2025_clean_laps_top5,no_time_features,direct_driver,Driver,,random_forest_regularized,4334,5,4,18,44,0.617904937701892,0.615170734314763,0.6146609915977652
race_2025_clean_laps_top5,no_time_features,direct_team,Team,random_forest_regularized,,4334,5,4,18,44,0.6758191047531149,0.6259182513841001,0.6336916812251163
race_2025_clean_laps_top5,no_time_features,direct_driver,Driver,,hist_gradient_boosting_regularized,4334,5,4,18,44,0.6596677434240886,0.6590111847202902,0.6590856403771047
race_2025_clean_laps_top5,no_time_features,direct_team,Team,hist_gradient_boosting_regularized,,4334,5,4,18,44,0.7041993539455469,0.6795789162351882,0.6816916487266076
race_2025_clean_laps_top5,style_core_no_time_context,direct_driver,Driver,,logistic_l2,4334,5,4,18,40,0.7974157821873558,0.7978714808608817,0.7965026090059484
race_2025_clean_laps_top5,style_core_no_time_context,direct_team,Team,logistic_l2,,4334,5,4,18,40,0.8299492385786802,0.8325989472401385,0.8231034232442938
race_2025_clean_laps_top5,style_core_no_time_context,direct_driver,Driver,,random_forest_regularized,4334,5,4,18,40,0.6243654822335025,0.6218183157768575,0.6202911609559925
race_2025_clean_laps_top5,style_core_no_time_context,direct_team,Team,random_forest_regularized,,4334,5,4,18,40,0.6868943239501615,0.6398977640562673,0.6482869172444993
race_2025_clean_laps_top5,style_core_no_time_context,direct_driver,Driver,,hist_gradient_boosting_regularized,4334,5,4,18,40,0.6562067374250116,0.6556253458699958,0.6559601826201051
race_2025_clean_laps_top5,style_core_no_time_context,direct_team,Team,hist_gradient_boosting_regularized,,4334,5,4,18,40,0.703968620212275,0.6788894085686012,0.6808225865374493
race_2025_clean_laps_top5,style_core_no_time_context,hierarchical_team_stage,Team,logistic_l2,logistic_l2,4334,5,4,18,40,0.8299492385786802,0.8325989472401385,0.8231034232442938
race_2025_clean_laps_top5,style_core_no_time_context,hierarchical_driver_final,Driver,logistic_l2,logistic_l2,4334,5,4,18,40,0.7833410244577758,0.7845043824426519,0.7815331609990599
race_2025_clean_laps_top5,style_core_no_time_context,hierarchical_team_stage,Team,random_forest_regularized,logistic_l2,4334,5,4,18,40,0.6868943239501615,0.6398977640562673,0.6482869172444993
race_2025_clean_laps_top5,style_core_no_time_context,hierarchical_driver_final,Driver,random_forest_regularized,logistic_l2,4334,5,4,18,40,0.6395939086294417,0.6367089156188819,0.6319040995202558
race_2025_clean_laps_top5,style_core_no_time_context,hierarchical_team_stage,Team,hist_gradient_boosting_regularized,logistic_l2,4334,5,4,18,40,0.703968620212275,0.6788894085686012,0.6808225865374493
race_2025_clean_laps_top5,style_core_no_time_context,hierarchical_driver_final,Driver,hist_gradient_boosting_regularized,logistic_l2,4334,5,4,18,40,0.6628980156898938,0.6615009103302945,0.662916039907054
race_2025_clean_laps_top5,style_core_no_time_context,hierarchical_team_stage,Team,logistic_l2,random_forest_regularized,4334,5,4,18,40,0.8299492385786802,0.8325989472401385,0.8231034232442938
race_2025_clean_laps_top5,style_core_no_time_context,hierarchical_driver_final,Driver,logistic_l2,random_forest_regularized,4334,5,4,18,40,0.7390401476695893,0.7404647053953624,0.7353110806424707
race_2025_clean_laps_top5,style_core_no_time_context,hierarchical_team_stage,Team,logistic_l2,hist_gradient_boosting_regularized,4334,5,4,18,40,0.8299492385786802,0.8325989472401385,0.8231034232442938
race_2025_clean_laps_top5,style_core_no_time_context,hierarchical_driver_final,Driver,logistic_l2,hist_gradient_boosting_regularized,4334,5,4,18,40,0.7489616982002769,0.7503164766921163,0.7457949007334597
