team,leader_driver,teammate_driver,season,round,session_key,event_name,feature,leader_minus_teammate,abs_gap
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,LapTimeSeconds,41.46200000000002,41.46200000000002
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,speed_min,-21.0,21.0
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,speed_mean,-76.04285626526195,76.04285626526195
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,throttle_full_frac,-0.5286655506580867,0.5286655506580867
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,throttle_mid_frac,0.3135318599972356,0.3135318599972356
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,throttle_diff_abs_mean,-0.5327587804652021,0.5327587804652021
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,brake_active_frac,0.08545912490593277,0.08545912490593277
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,brake_on_count,3.0,3.0
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,rpm_diff_abs_mean,-12.464329842770212,12.464329842770212
Red Bull Racing,VER,RIC,2018,2,2018_2_Q,Bahrain Grand Prix,gear_change_count,2.0,2.0
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,LapTimeSeconds,-0.1519999999999868,0.1519999999999868
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,speed_min,-1.0,1.0
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,speed_mean,-0.6325086125900441,0.6325086125900441
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,throttle_full_frac,0.01161916692765419,0.01161916692765419
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,throttle_mid_frac,0.0751017851550266,0.0751017851550266
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,throttle_diff_abs_mean,0.07825831126802019,0.07825831126802019
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,brake_active_frac,-0.009186762710094998,0.009186762710094998
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,rpm_diff_abs_mean,3.035052326314485,3.035052326314485
Red Bull Racing,VER,RIC,2018,3,2018_3_Q,Chinese Grand Prix,gear_change_count,-1.0,1.0
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,LapTimeSeconds,0.08299999999999841,0.08299999999999841
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,speed_min,3.0,3.0
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,speed_mean,-0.4868804664723143,0.4868804664723143
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,throttle_full_frac,-0.005830903790087438,0.005830903790087438
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,throttle_mid_frac,0.14868804664723032,0.14868804664723032
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,throttle_diff_abs_mean,-0.017543859649122417,0.017543859649122417
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,brake_active_frac,0.008746355685131185,0.008746355685131185
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,rpm_diff_abs_mean,-5.257309941520475,5.257309941520475
Red Bull Racing,VER,RIC,2018,4,2018_4_Q,Azerbaijan Grand Prix,gear_change_count,-1.0,1.0
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,LapTimeSeconds,-0.001999999999995339,0.001999999999995339
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,speed_min,2.0,2.0
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,speed_mean,0.2783813714046346,0.2783813714046346
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,throttle_full_frac,-0.0064200413037621695,0.0064200413037621695
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,throttle_mid_frac,0.08435844482356111,0.08435844482356111
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,throttle_diff_abs_mean,-0.002895665550628479,0.002895665550628479
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,brake_active_frac,-0.023779593547035405,0.023779593547035405
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,rpm_diff_abs_mean,1.1863330618646728,1.1863330618646728
Red Bull Racing,VER,RIC,2018,5,2018_5_Q,Spanish Grand Prix,gear_change_count,1.0,1.0
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,LapTimeSeconds,-0.17900000000000205,0.17900000000000205
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,speed_min,0.0,0.0
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,speed_mean,0.2635983263598405,0.2635983263598405
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,throttle_full_frac,-0.012552301255230103,0.012552301255230103
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,throttle_mid_frac,0.07949790794979078,0.07949790794979078
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,throttle_diff_abs_mean,0.042016806722689815,0.042016806722689815
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,brake_active_frac,0.008368200836820106,0.008368200836820106
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,brake_on_count,-1.0,1.0
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,rpm_diff_abs_mean,5.777310924369772,5.777310924369772
Red Bull Racing,VER,RIC,2018,7,2018_7_Q,Canadian Grand Prix,gear_change_count,-1.0,1.0
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,LapTimeSeconds,-0.18999999999999773,0.18999999999999773
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,speed_min,3.0,3.0
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,speed_mean,0.9971070395371271,0.9971070395371271
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,throttle_full_frac,-0.024183006535947738,0.024183006535947738
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,throttle_mid_frac,0.08922104360870034,0.08922104360870034
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,throttle_diff_abs_mean,-0.46945642795513365,0.46945642795513365
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,brake_active_frac,0.03325833065466624,0.03325833065466624
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,rpm_diff_abs_mean,5.126358930112133,5.126358930112133
Red Bull Racing,VER,RIC,2018,8,2018_8_Q,French Grand Prix,gear_change_count,-1.0,1.0
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,LapTimeSeconds,-0.1559999999999988,0.1559999999999988
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,speed_min,-2.0,2.0
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,speed_mean,0.1120585701981156,0.1120585701981156
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,throttle_full_frac,-0.01065891472868219,0.01065891472868219
