subset_name,penalty,C,class_weight,n_drivers,n_samples,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
distinctive_top5,l2,8.0,none,5,273,1.0,0.8462626262626263,0.15373737373737376,1.0,0.846252528554588,0.15374747144541193,0.8461538461538461,0.845993265993266,0.847188745014618
distinctive_top5,l2,8.0,balanced,5,273,1.0,0.8462626262626263,0.15373737373737376,1.0,0.846252528554588,0.15374747144541193,0.8461538461538461,0.845993265993266,0.847188745014618
distinctive_top5,l2,0.25,none,5,273,0.9514557412760253,0.8460606060606061,0.10539513521541928,0.951257221254008,0.8456536796536798,0.10560354160032834,0.8461538461538461,0.8459259259259259,0.8467010547519023
distinctive_top5,l2,0.1,none,5,273,0.9258263164509237,0.8423569023569023,0.0834694140940214,0.9254098304295928,0.8427132693393563,0.08269656109023642,0.8424908424908425,0.8421548821548821,0.8433574383419586
distinctive_top5,l2,0.1,balanced,5,273,0.9267395584600561,0.8423569023569023,0.0843826561031538,0.9263616717709802,0.8427132693393563,0.08364840243162394,0.8424908424908425,0.8421548821548821,0.8433574383419586
distinctive_top5,l1,4.0,none,5,273,0.9990867579908675,0.8424915824915825,0.1565951754992851,0.9990907916828103,0.843012214330292,0.1560785773525181,0.8424908424908425,0.8422895622895623,0.8432023761310006
distinctive_top5,l1,4.0,balanced,5,273,0.9990867579908675,0.8424915824915825,0.1565951754992851,0.9990907916828103,0.843012214330292,0.1560785773525181,0.8424908424908425,0.8422895622895623,0.8432023761310006
distinctive_top5,l2,0.25,balanced,5,273,0.9514557412760253,0.8424242424242424,0.10903149885178291,0.951257221254008,0.8422913608131,0.10896586044090803,0.8424908424908425,0.8422895622895623,0.8430842334745305
distinctive_top5,l1,0.5,none,5,273,0.9395500816890788,0.8387878787878789,0.10076220290120001,0.9395763239075299,0.8400864170154788,0.0994899068920511,0.8388278388278388,0.8385185185185184,0.840292734793762
distinctive_top5,l1,0.5,balanced,5,273,0.9404633236982113,0.8387878787878789,0.10167544491033242,0.94051697923943,0.8400864170154788,0.10043056222395128,0.8388278388278388,0.8385185185185184,0.840292734793762
distinctive_top5,l2,0.05,balanced,5,273,0.9056763436806164,0.8351515151515152,0.0705248285291015,0.9052880917128645,0.8353758348440271,0.06991225686883747,0.8351648351648352,0.8348148148148148,0.8361700914833767
distinctive_top5,l1,8.0,none,5,273,1.0,0.8352861952861954,0.1647138047138047,1.0,0.835249165784635,0.16475083421536507,0.8351648351648352,0.8349494949494949,0.8358979105861059
distinctive_top5,l1,8.0,balanced,5,273,1.0,0.8352861952861954,0.1647138047138047,1.0,0.835249165784635,0.16475083421536507,0.8351648351648352,0.8349494949494949,0.8358979105861059
distinctive_top5,l2,0.05,none,5,273,0.9065895856897491,0.8315151515151514,0.07507443417459755,0.9061973269548904,0.8311179173229517,0.07507940963193882,0.8315018315018315,0.831111111111111,0.8321372311398367
distinctive_top5,l1,0.25,none,5,273,0.8855096141761971,0.8023569023569024,0.08315271181929469,0.8850935401392486,0.8026431866294568,0.08245035350979199,0.8021978021978022,0.8017508417508417,0.8012252613565165
distinctive_top5,l1,0.25,balanced,5,273,0.8873402873779901,0.7950168350168351,0.092323452361155,0.8869304045664694,0.7948579660021308,0.09207243856433873,0.7948717948717948,0.7944781144781144,0.7940772963584563
distinctive_top5,l1,0.1,none,5,273,0.711537011436471,0.6924579124579125,0.01907909897855855,0.7064100700654742,0.6906169580348609,0.015793112030613333,0.6923076923076923,0.6917845117845118,0.6888507963486777
distinctive_top5,l1,0.1,balanced,5,273,0.7106237694273386,0.6888215488215488,0.0218022206057898,0.7058624206717875,0.6866440560830116,0.01921836458877595,0.6886446886446886,0.6882154882154883,0.6849785961556639
distinctive_top5,l1,0.05,balanced,5,273,0.6053453981818944,0.5821548821548822,0.02319051602701221,0.5929994770892124,0.5655762570543429,0.0274232200348695,0.5824175824175825,0.5812121212121213,0.5662733062048815
distinctive_top5,l1,0.05,none,5,273,0.5998450002094591,0.5821548821548822,0.01769011805457703,0.5861663678113833,0.5653796015359482,0.020786766275435187,0.5824175824175825,0.5812121212121213,0.5658533341837979
distinctive_top6,l2,1.0,balanced,6,327,0.9801263490392209,0.831888111888112,0.14823823715110893,0.9801920441529077,0.8314497550313498,0.14874228912155812,0.8318042813455657,0.831705948372615,0.8330209682932853
distinctive_top6,l2,1.0,none,6,327,0.9808926325641251,0.831888111888112,0.14900452067601316,0.9809581251715951,0.831468576789302,0.1494895483822932,0.8318042813455657,0.831705948372615,0.8330209682932853
distinctive_top6,l1,2.0,none,6,327,0.9808897078178468,0.8319347319347319,0.14895497588311485,0.9809499907748103,0.8318454219685879,0.1491045688062224,0.8318042813455657,0.831705948372615,0.8329358494971021
distinctive_top6,l1,2.0,balanced,6,327,0.9816559913427512,0.8288578088578088,0.15279818248494212,0.9817080492101257,0.8291138202369861,0.15259422897313943,0.8287461773700305,0.828675645342312,0.8298536126642041
distinctive_top6,l2,4.0,none,6,327,0.9969436401392178,0.8256410256410257,0.17130261449819226,0.9969512754087816,0.8253393233831605,0.171611952025621,0.8256880733944955,0.8255892255892255,0.8265877354134399
