team,leader_driver,teammate_driver,season,n_shared_sessions,mean_LapTimeSeconds_leader_minus_teammate,mean_LapTimeSeconds_abs_gap,mean_speed_min_leader_minus_teammate,mean_speed_min_abs_gap,mean_speed_mean_leader_minus_teammate,mean_speed_mean_abs_gap,mean_throttle_full_frac_leader_minus_teammate,mean_throttle_full_frac_abs_gap,mean_throttle_mid_frac_leader_minus_teammate,mean_throttle_mid_frac_abs_gap,mean_throttle_diff_abs_mean_leader_minus_teammate,mean_throttle_diff_abs_mean_abs_gap,mean_brake_active_frac_leader_minus_teammate,mean_brake_active_frac_abs_gap,mean_brake_on_count_leader_minus_teammate,mean_brake_on_count_abs_gap,mean_rpm_diff_abs_mean_leader_minus_teammate,mean_rpm_diff_abs_mean_abs_gap,mean_gear_change_count_leader_minus_teammate,mean_gear_change_count_abs_gap
Mercedes,HAM,RUS,2022,17,0.06505882352941311,0.2571764705882361,0.6470588235294118,1.588235294117647,-0.6714304735136757,1.9924859070597365,-0.013836514083084584,0.022195142968385123,0.07304864735636109,0.07391879478643015,0.013462515093326117,0.29112746789917976,0.004547254620180542,0.018748259221333677,-0.29411764705882354,1.1176470588235294,6.688855638384228,14.315470468221903,-1.7647058823529411,3.176470588235294
Mercedes,HAM,RUS,2023,15,-0.13313333333333238,0.4628666666666675,1.0666666666666667,2.2666666666666666,-0.05357561219811373,1.757869460237246,-0.011648909527763112,0.02101601904175603,0.056041406066055906,0.056205921034196256,0.06287753706884477,0.2298958245993295,-0.01119672544314561,0.013468693463512179,0.13333333333333333,0.8,2.741633787942872,7.760109518702042,0.0,2.533333333333333
Mercedes,HAM,RUS,2024,18,0.35705555555555357,0.42816666666666475,-0.2222222222222222,2.2222222222222223,-1.9550175412796322,2.375013048205667,-0.012598055514130522,0.01968310014182597,0.05011588867846574,0.05178148788417189,0.08895549061933096,0.20470904089217157,0.007428962977173544,0.01310372384481898,0.16666666666666666,0.6111111111111112,11.649932922178719,16.91801046807262,0.3333333333333333,3.4444444444444446
Red Bull Racing,VER,ALB,2019,8,-4.999125000000001,4.999125000000001,3.0,4.75,9.95558661793605,10.011441519447736,0.08558058915622406,0.08584398814843659,-0.062043085523108825,0.06754099629240665,0.18060898011198911,0.270468901940876,0.004638489273621885,0.010077248055229655,-0.125,0.625,-7.348455147829004,12.424886467264276,1.625,2.625
Red Bull Racing,VER,ALB,2020,15,-0.5859333333333311,0.5859333333333311,1.9333333333333333,3.4,1.6402775453548466,1.6402775453548466,0.033782483461680134,0.033782483461680134,0.0053313840417204515,0.020801979839070152,0.11640190217511227,0.1547677551865376,-0.007623881594444838,0.01114765742698663,-0.13333333333333333,0.8,-2.1157091070311234,11.008875606715788,0.6666666666666666,1.4666666666666666
Red Bull Racing,VER,GAS,2019,12,-0.5331666666666669,0.623166666666668,0.3333333333333333,2.1666666666666665,1.6020580541516243,2.119930802801252,0.010250857058240933,0.016164778826862236,0.009333622638668144,0.015794942478296315,-0.10851211179030666,0.31690071125398706,0.00862405428546022,0.012870861555920201,0.16666666666666666,0.6666666666666666,-16.66687089445138,18.698110817358657,0.8333333333333334,1.3333333333333333
Red Bull Racing,VER,LAW,2025,2,-1.4850000000000065,1.4850000000000065,0.5,0.5,1.4389159450224724,1.4389159450224724,0.018447086147048042,0.018447086147048042,-0.01273040920758306,0.035239751154508114,0.3912359809527195,0.3912359809527195,0.023436730449145425,0.023436730449145425,0.5,1.5,-2.5978409743522946,18.62317351840133,2.0,2.0
Red Bull Racing,VER,PER,2021,20,-0.5690000000000012,0.5742000000000018,0.55,2.75,1.449020478658602,1.479505915551806,0.008135715312493625,0.012740988842035889,-0.01789245790091013,0.02172602557359496,0.15349697829054865,0.19676915584112314,0.0030613694856669086,0.0066431932040496465,0.55,0.85,6.0716641194401175,13.918181430290954,-0.95,1.65
Red Bull Racing,VER,PER,2022,17,-0.3205882352941187,0.3589411764705885,3.764705882352941,6.117647058823529,12.80256148721557,13.887993396719716,-0.029618951051121185,0.04496561011053161,0.024224016161525433,0.03710777961433299,0.6056796580735913,0.7542297423077255,-0.04126758204782648,0.05887337612222683,1.3529411764705883,1.4705882352941178,27.153189502981558,37.18321690491831,0.23529411764705882,3.8823529411764706
Red Bull Racing,VER,PER,2023,15,-0.501466666666668,0.5953333333333338,0.3333333333333333,3.533333333333333,1.333830271811244,3.100752865688592,-0.003454406533601347,0.019879054287525656,-0.01287190656768746,0.02199737526286343,-0.014697659891314647,0.4468665218465425,0.004312092398025703,0.01078170438230613,0.26666666666666666,0.6666666666666666,2.5877653392827864,11.492237233956905,-1.0666666666666667,2.533333333333333
Red Bull Racing,VER,PER,2024,18,-0.6189444444444455,0.6422777777777782,1.2777777777777777,3.0555555555555554,2.3141312796068214,2.4515978128200593,-0.0008541378432395725,0.012120086495911108,-0.00817652849017954,0.01718125634978028,-0.002428371164562293,0.35068393499833167,-0.005342750368441785,0.0124896337214058,-0.05555555555555555,0.3888888888888889,-3.165769580241358,15.621599938710595,-2.7777777777777777,3.7777777777777777
Red Bull Racing,VER,RIC,2018,16,2.502375000000003,2.8848749999999987,-0.8125,3.3125,-4.416058695715908,5.647534593682355,-0.03519856248881188,0.04597815262778988,0.06349484066279112,0.06494531303438811,0.08160261339456493,0.2241001812956634,0.009629875388340741,0.016717671447069257,-0.125,0.5,-0.6015871115483158,7.269929730157262,-0.6875,1.5625
Red Bull Racing,VER,TSU,2025,19,-0.7899473684210534,0.7899473684210534,0.8421052631578947,2.0,1.6139376852223857,2.3895388388357484,0.013689255220467066,0.021333614230558698,0.0007503704563898764,0.027080854331339974,0.1778323621999212,0.36116334768150643,0.007419524999386667,0.012898660266194456,-0.5263157894736842,0.631578947368421,-5.162336391825396,11.703533843488104,-1.0526315789473684,2.1052631578947367
