subset_name,config_name,feature,importance
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_diff_abs_max,0.43416272671038575
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_on_count,0.43095122329353464
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_diff_std,0.41763351889669337
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_p25,0.41678346482987366
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_diff_abs_mean,0.4051196281114508
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_mean,0.3996468048059553
distinctive_top6,compact_no_context_no_phase_no_speed,num__speed_diff_std,0.3890057230982724
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_low_frac,0.38766407678874976
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_min,0.3567106384467113
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_high_frac,0.3378967177951477
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_median,0.33532741561226237
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_mean,0.32803945711403243
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_diff_mean,0.324927370464913
distinctive_top6,compact_no_context_no_phase_no_speed,num__gear_min,0.31419626889130864
distinctive_top6,compact_no_context_no_phase_no_speed,num__gear_median,0.3028454141260262
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_cv,0.29601028152759007
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_std,0.27897066472413484
distinctive_top6,compact_no_context_no_phase_no_speed,num__gear_change_count,0.2555225791951579
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_max,0.23719261653611068
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_p75,0.21531371471343322
distinctive_top6,compact_no_context_no_phase_no_speed,num__speed_diff_abs_mean,0.21153823558251697
distinctive_top6,compact_no_context_no_phase_no_speed,num__rpm_diff_abs_max,0.1798391480405127
distinctive_top6,compact_no_context_no_phase_no_speed,num__gear_max,0.16485969116332785
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_diff_mean,0.1560232426831036
distinctive_top6,compact_no_context_no_phase_no_speed,num__speed_diff_mean,0.1394101620091338
distinctive_top6,compact_no_context_no_phase_no_speed,num__speed_diff_abs_max,0.1344211117155941
distinctive_top6,compact_no_context_no_phase_no_speed,num__throttle_p90,0.0944935345672268
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_p90,0.016086182704196133
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_max,0.0
distinctive_top6,compact_no_context_no_phase_no_speed,num__brake_diff_abs_max,0.0
