Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,season,round,event_name,session_name,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,session_max_rainfall,session_is_dry_by_weather
0 days 01:02:58.701000,OCO,31,0 days 00:01:30.914000,11.0,4.0,,,0 days 00:00:29.111000,0 days 00:00:39.107000,0 days 00:00:22.696000,0 days 01:01:56.898000,0 days 01:02:36.005000,0 days 01:02:58.701000,241.0,269.0,287.0,320.0,True,SOFT,2.0,True,Alpine,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.914,29.111,39.107,22.696,False,True
0 days 01:23:33.830000,OCO,31,0 days 00:01:30.984000,14.0,5.0,,,0 days 00:00:29.026000,0 days 00:00:39.104000,0 days 00:00:22.854000,0 days 01:22:31.872000,0 days 01:23:10.976000,0 days 01:23:33.830000,242.0,270.0,286.0,320.0,True,SOFT,2.0,False,Alpine,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.984,29.026,39.104,22.854,False,True
0 days 00:30:57.766000,HUL,27,0 days 00:01:32.360000,4.0,2.0,,,0 days 00:00:29.533000,0 days 00:00:39.687000,0 days 00:00:23.140000,0 days 00:29:54.939000,0 days 00:30:34.626000,0 days 00:30:57.766000,240.0,271.0,286.0,317.0,True,SOFT,4.0,False,Haas F1 Team,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,92.36,29.533,39.687,23.14,False,True
0 days 00:41:16.870000,HUL,27,0 days 00:01:31.204000,7.0,3.0,,,0 days 00:00:29.049000,0 days 00:00:39.215000,0 days 00:00:22.940000,0 days 00:40:14.715000,0 days 00:40:53.930000,0 days 00:41:16.870000,241.0,270.0,284.0,318.0,True,SOFT,2.0,True,Haas F1 Team,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.204,29.049,39.215,22.94,False,True
0 days 00:54:16.791000,HUL,27,0 days 00:01:31.932000,10.0,4.0,,,0 days 00:00:29.430000,0 days 00:00:39.521000,0 days 00:00:22.981000,0 days 00:53:14.289000,0 days 00:53:53.810000,0 days 00:54:16.791000,241.0,270.0,287.0,316.0,True,SOFT,5.0,False,Haas F1 Team,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.932,29.43,39.521,22.981,False,True
0 days 01:03:04.511000,HUL,27,0 days 00:01:30.809000,13.0,5.0,,,0 days 00:00:29.042000,0 days 00:00:38.957000,0 days 00:00:22.810000,0 days 01:02:02.744000,0 days 01:02:41.701000,0 days 01:03:04.511000,241.0,270.0,286.0,317.0,True,SOFT,2.0,True,Haas F1 Team,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.809,29.042,38.957,22.81,False,True
0 days 01:20:03.878000,HUL,27,0 days 00:01:31.055000,16.0,6.0,,,0 days 00:00:29.132000,0 days 00:00:39.069000,0 days 00:00:22.854000,0 days 01:19:01.955000,0 days 01:19:41.024000,0 days 01:20:03.878000,242.0,270.0,286.0,315.0,True,SOFT,2.0,True,Haas F1 Team,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.055,29.132,39.069,22.854,False,True
0 days 00:32:23.530000,NOR,4,0 days 00:01:32.555000,3.0,2.0,,,0 days 00:00:29.564000,0 days 00:00:39.794000,0 days 00:00:23.197000,0 days 00:31:20.539000,0 days 00:32:00.333000,0 days 00:32:23.530000,239.0,268.0,285.0,319.0,True,SOFT,3.0,False,McLaren,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,92.555,29.564,39.794,23.197,False,True
0 days 00:40:40.614000,NOR,4,0 days 00:01:31.652000,6.0,3.0,,,0 days 00:00:29.304000,0 days 00:00:39.257000,0 days 00:00:23.091000,0 days 00:39:38.266000,0 days 00:40:17.523000,0 days 00:40:40.614000,241.0,269.0,286.0,318.0,True,SOFT,2.0,True,McLaren,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.652,29.304,39.257,23.091,False,True
0 days 00:54:38.607000,NOR,4,0 days 00:01:32.191000,9.0,4.0,,,0 days 00:00:29.492000,0 days 00:00:39.628000,0 days 00:00:23.071000,0 days 00:53:35.908000,0 days 00:54:15.536000,0 days 00:54:38.607000,240.0,267.0,286.0,317.0,True,SOFT,5.0,False,McLaren,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,92.191,29.492,39.628,23.071,False,True
0 days 01:03:32.835000,NOR,4,0 days 00:01:31.381000,12.0,5.0,,,0 days 00:00:29.235000,0 days 00:00:39.210000,0 days 00:00:22.936000,0 days 01:02:30.689000,0 days 01:03:09.899000,0 days 01:03:32.835000,240.0,267.0,286.0,320.0,True,SOFT,2.0,True,McLaren,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.381,29.235,39.21,22.936,False,True
0 days 00:30:33.363000,BOT,77,0 days 00:01:31.952000,2.0,1.0,,,0 days 00:00:29.286000,0 days 00:00:39.606000,0 days 00:00:23.060000,0 days 00:29:30.697000,0 days 00:30:10.303000,0 days 00:30:33.363000,240.0,268.0,282.0,316.0,True,SOFT,2.0,True,Alfa Romeo,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.952,29.286,39.606,23.06,False,True
0 days 00:40:34.915000,BOT,77,0 days 00:01:31.504000,5.0,2.0,,,0 days 00:00:29.198000,0 days 00:00:39.320000,0 days 00:00:22.986000,0 days 00:39:32.609000,0 days 00:40:11.929000,0 days 00:40:34.915000,240.0,268.0,282.0,316.0,True,SOFT,2.0,True,Alfa Romeo,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.504,29.198,39.32,22.986,False,True
0 days 00:54:26.130000,BOT,77,0 days 00:01:32.170000,8.0,3.0,,,0 days 00:00:29.404000,0 days 00:00:39.613000,0 days 00:00:23.153000,0 days 00:53:23.364000,0 days 00:54:02.977000,0 days 00:54:26.130000,239.0,268.0,281.0,317.0,True,SOFT,5.0,False,Alfa Romeo,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,92.17,29.404,39.613,23.153,False,True
0 days 01:03:19.810000,BOT,77,0 days 00:01:31.443000,11.0,4.0,,,0 days 00:00:29.235000,0 days 00:00:39.327000,0 days 00:00:22.881000,0 days 01:02:17.602000,0 days 01:02:56.929000,0 days 01:03:19.810000,240.0,268.0,280.0,318.0,True,SOFT,5.0,False,Alfa Romeo,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.443,29.235,39.327,22.881,False,True
0 days 00:30:28.295000,ZHO,24,0 days 00:01:31.947000,2.0,1.0,,,0 days 00:00:29.442000,0 days 00:00:39.459000,0 days 00:00:23.046000,0 days 00:29:25.790000,0 days 00:30:05.249000,0 days 00:30:28.295000,239.0,269.0,285.0,316.0,True,SOFT,2.0,True,Alfa Romeo,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.947,29.442,39.459,23.046,False,True
0 days 00:40:29.272000,ZHO,24,0 days 00:01:31.615000,5.0,2.0,,,0 days 00:00:29.212000,0 days 00:00:39.338000,0 days 00:00:23.065000,0 days 00:39:26.869000,0 days 00:40:06.207000,0 days 00:40:29.272000,239.0,269.0,286.0,317.0,True,SOFT,2.0,True,Alfa Romeo,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.615,29.212,39.338,23.065,False,True
