feature,count,unique,top,freq,mean,std,min,25%,50%,75%,max
gear_mean,4334.0,,,,5.332799716788297,0.571530191883732,3.58,5.07039295392954,5.339658131957364,5.718484749556945,6.558064516129032
gear_std,4334.0,,,,1.7122838793452129,0.1944600610689278,1.2645138902923185,1.5754525433167141,1.6970271146998919,1.8516362463979497,2.147563444453057
gear_min,4334.0,,,,2.4723119520073835,0.6230767656976152,1.0,2.0,3.0,3.0,3.0
gear_max,4334.0,,,,7.9088601753576375,0.2886417291979046,6.0,8.0,8.0,8.0,8.0
gear_change_count,4334.0,,,,36.19381633594831,6.2104635816766125,18.0,32.0,36.0,40.0,59.0
speed_diff_mean,4334.0,,,,-0.023772978154684786,0.0471971649575388,-0.45084745762711864,-0.025263195165706732,-0.012360958318054028,-0.0035367015011402653,0.28321678321678323
speed_diff_std,4334.0,,,,10.176272936486866,0.8838396626025844,7.612761543160551,9.608175131031183,10.178902780879874,10.757270070852963,13.69689580681861
speed_diff_abs_mean,4334.0,,,,6.701619123199029,0.7028914251967278,5.163841807909605,6.22443928066276,6.640883190883191,7.138125463306153,8.9
throttle_diff_mean,4334.0,,,,-0.0023987764263784213,0.028127383557842625,-0.38132295719844356,0.0,0.0,0.0,0.3265993265993266
throttle_diff_std,4334.0,,,,15.821370093036089,1.7285901771663845,10.506315899661345,14.618211390496812,15.679876547142738,17.041004680576957,21.04966592072543
throttle_diff_abs_mean,4334.0,,,,5.724713803246698,0.9951138345495074,3.6216216216216215,5.030158171052852,5.510657596371882,6.466662583075556,8.723076923076922
rpm_diff_mean,4334.0,,,,-0.17343701794682498,1.4729469215971258,-14.400510204081632,-0.6866931826111228,-0.2597583980265544,0.1136155511155511,7.444444444444445
rpm_diff_std,4334.0,,,,487.6544542495006,54.612342970927266,371.1708897701304,448.5824261974878,483.9095379311796,516.5728113774605,712.3045276276886
rpm_diff_abs_mean,4334.0,,,,347.67623106620533,52.19421390921762,243.59052924791087,312.04188537381185,343.9534275248561,377.55725537553974,536.9448529411765
drs_active_frac,4334.0,,,,0.06584321376824219,0.1362398410954317,0.0,0.0,0.0,0.09506147540983606,1.0
lap_key,4334,4334,2025_r24_R_VER_lap9,1,,,,,,,
Driver,4334,5,OCO,911,,,,,,,
season,4334.0,,,,2025.0,0.0,2025.0,2025.0,2025.0,2025.0,2025.0
round,4334.0,,,,13.281956622058145,7.192956413932407,2.0,7.0,14.0,20.0,24.0
event_name,4334,18,Hungarian Grand Prix,319,,,,,,,
session_name,4334,1,R,4334,,,,,,,
LapNumber,4334.0,,,,31.996769727734193,17.824852118669376,2.0,17.0,31.0,46.0,78.0
LapTimeSeconds,4334.0,,,,86.78000969081681,9.364020789506894,68.628,80.48125,84.048,95.06425,108.359
Compound,4334,3,MEDIUM,1923,,,,,,,
TyreLife,4334.0,,,,15.570604522381172,9.590675223280053,2.0,8.0,14.0,21.0,55.0
Team,4334,4,Ferrari,1742,,,,,,,
Stint,4334.0,,,,1.902168897092755,0.7824110175065031,1.0,1.0,2.0,2.0,5.0
SessionPart,0.0,,,,,,,,,,
stint_median_lap_seconds,0.0,,,,,,,,,,
lap_time_delta_to_stint_median,0.0,,,,,,,,,,
session_key,4334,18,2025_14_R,319,,,,,,,
TrackStatus,4334.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lap_time_not_null,4334,1,True,4334,,,,,,,
dry_session,4334,1,True,4334,,,,,,,
accurate,4334,1,True,4334,,,,,,,
not_deleted,4334,1,True,4334,,,,,,,
not_fastf1_generated,4334,1,True,4334,,,,,,,
track_status_green,4334,1,True,4334,,,,,,,
not_pit_in_out,4334,1,True,4334,,,,,,,
within_2s_of_stint_median,4334,1,True,4334,,,,,,,
within_3s_of_stint_median,4334,1,True,4334,,,,,,,
