season,round,event_name,session_name,session_date,country,location,official_event_name,n_results_rows,n_laps_rows,n_unique_drivers_in_laps,lap_columns_count,results_columns_count,has_compound,has_tyre_life,has_track_status,has_is_personal_best,has_is_accurate,sample_lap_time_seconds_mean,laps_export_path,results_export_path,status
2019,12,Hungarian Grand Prix,Q,2019-08-03 13:00:00,Hungary,Budapest,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,20,293,20,37,26,True,True,True,True,True,88.62082412060302,exports\backfill_qr_raw_laps\2019_R12_Q_laps.csv,exports\backfill_qr_results\2019_R12_Q_results.csv,ok
2019,12,Hungarian Grand Prix,R,2019-08-04 13:10:00,Hungary,Budapest,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,20,1358,20,37,26,True,True,True,True,True,83.52930854197348,exports\backfill_qr_raw_laps\2019_R12_R_laps.csv,exports\backfill_qr_results\2019_R12_R_results.csv,ok
2019,13,Belgian Grand Prix,Q,2019-08-31 13:00:00,Belgium,Spa-Francorchamps,FORMULA 1 JOHNNIE WALKER BELGIAN GRAND PRIX 2019,20,242,20,37,26,True,True,True,True,True,117.54850427350426,exports\backfill_qr_raw_laps\2019_R13_Q_laps.csv,exports\backfill_qr_results\2019_R13_Q_results.csv,ok
2019,13,Belgian Grand Prix,R,2019-09-01 13:10:00,Belgium,Spa-Francorchamps,FORMULA 1 JOHNNIE WALKER BELGIAN GRAND PRIX 2019,20,787,20,37,26,True,True,True,True,True,112.10270547945208,exports\backfill_qr_raw_laps\2019_R13_R_laps.csv,exports\backfill_qr_results\2019_R13_R_results.csv,ok
2019,14,Italian Grand Prix,Q,2019-09-07 13:00:00,Italy,Monza,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,20,275,20,37,26,True,True,True,True,True,94.52693975903615,exports\backfill_qr_raw_laps\2019_R14_Q_laps.csv,exports\backfill_qr_results\2019_R14_Q_results.csv,ok
2019,14,Italian Grand Prix,R,2019-09-08 13:10:00,Italy,Monza,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,20,991,20,37,26,True,True,True,True,True,87.150301010101,exports\backfill_qr_raw_laps\2019_R14_R_laps.csv,exports\backfill_qr_results\2019_R14_R_results.csv,ok
2019,15,Singapore Grand Prix,Q,2019-09-21 13:00:00,Singapore,Singapore,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2019,20,278,20,37,26,True,True,True,True,True,114.00773684210526,exports\backfill_qr_raw_laps\2019_R15_Q_laps.csv,exports\backfill_qr_results\2019_R15_Q_results.csv,ok
2019,15,Singapore Grand Prix,R,2019-09-22 12:10:00,Singapore,Singapore,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2019,20,1165,20,37,26,True,True,True,True,True,111.2053835748792,exports\backfill_qr_raw_laps\2019_R15_R_laps.csv,exports\backfill_qr_results\2019_R15_R_results.csv,ok
2019,16,Russian Grand Prix,Q,2019-09-28 12:00:00,Russia,Sochi,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,20,277,19,37,26,True,True,True,True,True,107.64807602339184,exports\backfill_qr_raw_laps\2019_R16_Q_laps.csv,exports\backfill_qr_results\2019_R16_Q_results.csv,ok
2019,16,Russian Grand Prix,R,2019-09-29 11:10:00,Russia,Sochi,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,20,901,20,37,26,True,True,True,True,True,103.6433147928994,exports\backfill_qr_raw_laps\2019_R16_R_laps.csv,exports\backfill_qr_results\2019_R16_R_results.csv,ok
2019,17,Japanese Grand Prix,Q,2019-10-13 01:00:00,Japan,Suzuka,FORMULA 1 JAPANESE GRAND PRIX 2019,20,287,20,37,26,True,True,True,True,True,101.41288050314466,exports\backfill_qr_raw_laps\2019_R17_Q_laps.csv,exports\backfill_qr_results\2019_R17_Q_results.csv,ok
2019,17,Japanese Grand Prix,R,2019-10-13 05:10:00,Japan,Suzuka,FORMULA 1 JAPANESE GRAND PRIX 2019,20,1005,20,37,26,True,True,True,True,True,96.6291892430279,exports\backfill_qr_raw_laps\2019_R17_R_laps.csv,exports\backfill_qr_results\2019_R17_R_results.csv,ok
2019,18,Mexican Grand Prix,Q,2019-10-26 19:00:00,Mexico,Mexico City,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,20,303,20,37,26,True,True,True,True,True,88.24800467289718,exports\backfill_qr_raw_laps\2019_R18_Q_laps.csv,exports\backfill_qr_results\2019_R18_Q_results.csv,ok
2019,18,Mexican Grand Prix,R,2019-10-27 19:10:00,Mexico,Mexico City,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,20,1370,20,37,26,True,True,True,True,True,83.29072680788897,exports\backfill_qr_raw_laps\2019_R18_R_laps.csv,exports\backfill_qr_results\2019_R18_R_results.csv,ok
2019,19,United States Grand Prix,Q,2019-11-02 22:00:00,United States,Austin,FORMULA 1 EMIRATES UNITED STATES GRAND PRIX 2019,20,270,20,37,26,True,True,True,True,True,106.87171657754013,exports\backfill_qr_raw_laps\2019_R19_Q_laps.csv,exports\backfill_qr_results\2019_R19_Q_results.csv,ok
2019,19,United States Grand Prix,R,2019-11-03 19:10:00,United States,Austin,FORMULA 1 EMIRATES UNITED STATES GRAND PRIX 2019,20,1032,20,37,26,True,True,True,True,True,102.68034757281552,exports\backfill_qr_raw_laps\2019_R19_R_laps.csv,exports\backfill_qr_results\2019_R19_R_results.csv,ok
2019,20,Brazilian Grand Prix,Q,2019-11-16 18:00:00,Brazil,São Paulo,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,20,271,20,37,26,True,True,True,True,True,80.985625,exports\backfill_qr_raw_laps\2019_R20_Q_laps.csv,exports\backfill_qr_results\2019_R20_Q_results.csv,ok
2019,20,Brazilian Grand Prix,R,2019-11-17 17:10:00,Brazil,São Paulo,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,20,1385,20,37,26,True,True,True,True,True,78.5859811457578,exports\backfill_qr_raw_laps\2019_R20_R_laps.csv,exports\backfill_qr_results\2019_R20_R_results.csv,ok
2019,21,Abu Dhabi Grand Prix,Q,2019-11-30 13:00:00,Abu Dhabi,Yas Island,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2019,20,267,20,37,26,True,True,True,True,True,111.9221325966851,exports\backfill_qr_raw_laps\2019_R21_Q_laps.csv,exports\backfill_qr_results\2019_R21_Q_results.csv,ok
