dataset,task,target,feature_config,class_name,rank,feature,coef,abs_coef
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,28,num__speed_q90,0.21218556777092212,0.21218556777092212
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,29,num__throttle_max,-0.21190440387624515,0.21190440387624515
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,HAM,30,num__last_brake_frac_pos,-0.20034756905269055,0.20034756905269055
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,1,num__throttle_mean,-6.386989169677701,6.386989169677701
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,2,num__gear_mean,-4.270130477652864,4.270130477652864
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,3,num__throttle_full_frac,3.294659694343086,3.294659694343086
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,4,num__throttle_mid_frac,-3.015029979528744,3.015029979528744
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,5,num__throttle_diff_abs_mean,-2.8386461125030564,2.8386461125030564
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,6,num__throttle_diff_std,2.5052428085416527,2.5052428085416527
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,7,num__rpm_mean,2.4430311205243314,2.4430311205243314
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,8,num__speed_q10,-2.393090541667585,2.393090541667585
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,9,num__rpm_std,-2.362712933471784,2.362712933471784
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,10,num__rpm_diff_abs_mean,-2.0713884119721118,2.0713884119721118
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,11,num__throttle_zero_frac,-1.8093939727263648,1.8093939727263648
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,12,num__speed_mean,-1.5394469755807547,1.5394469755807547
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,13,num__speed_std,1.364060404031639,1.364060404031639
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,14,num__throttle_std,-1.206886631247644,1.206886631247644
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,15,num__gear_max,1.0170400302295373,1.0170400302295373
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,16,num__brake_active_frac,-0.9958347200387487,0.9958347200387487
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,17,num__brake_mean,-0.9958347200387487,0.9958347200387487
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,style_core_no_time_context,LEC,18,num__gear_change_count,0.844472133615591,0.844472133615591
