feature,count,mean,std,min,25%,50%,75%,max
first_brake_frac_pos,1089.0,0.06549991709847887,0.03702421074300324,0.010025062656641603,0.0364741641337386,0.059154929577464786,0.09011627906976744,0.1708185053380783
last_brake_frac_pos,1089.0,0.9018046647599096,0.04675193263681892,0.7509578544061303,0.8882175226586103,0.9074626865671642,0.9315789473684211,0.9967637540453075
first_full_throttle_frac_pos,1089.0,8.95876727362315e-05,0.0029563932002956398,0.0,0.0,0.0,0.0,0.0975609756097561
last_full_throttle_frac_pos,1089.0,0.9961559323175047,0.01032365171884279,0.724025974025974,0.996415770609319,0.9968152866242038,0.9970501474926253,0.9976525821596244
gear_change_count,1091.0,38.01558203483043,7.6190692143486105,1.0,33.0,37.0,42.0,74.0
brake_on_count,1091.0,19.32263978001833,4.894148424903449,1.0,15.0,19.0,23.0,53.0
drs_toggle_count,1091.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
speed_diff_mean,1091.0,-0.03222299717647682,0.04341564787397457,-0.37404580152671757,-0.03594771241830065,-0.020833333333333332,-0.010600839077015284,0.06823529411764706
speed_diff_std,1091.0,11.267136392982287,1.342242245800562,0.0,10.508872238151458,11.292620783467694,12.101529079392197,18.179164718942193
speed_diff_abs_mean,1091.0,7.017958031845048,1.0729418094854601,0.0,6.212926253424505,6.84045584045584,7.741412688031393,9.587786259541986
speed_diff_abs_max,1091.0,67.77268560953254,18.373785325418226,0.0,56.0,65.0,74.0,184.0
throttle_diff_mean,1091.0,-0.001895867016173902,0.022780888384797925,-0.3816793893129771,0.0,0.0,0.0,0.01529051987767584
throttle_diff_std,1091.0,17.07849520297512,2.1680933419414012,0.0,15.653289073014296,16.798602626202282,18.450368692893278,23.499853983693217
throttle_diff_abs_mean,1091.0,5.786187477268795,1.1914900423587034,0.0,4.924427117651366,5.538961038961039,6.555173647491759,9.09727626459144
throttle_diff_abs_max,1091.0,99.38405132905591,4.590385094389588,0.0,100.0,100.0,100.0,104.0
brake_diff_mean,1091.0,6.474378680002766e-06,0.00015163812000741536,0.0,0.0,0.0,0.0,0.003816793893129771
brake_diff_std,1091.0,0.24205015729950533,0.03402233117565263,0.0,0.21683942529828876,0.23754227473946876,0.26444294267397256,0.387112267670478
brake_diff_abs_mean,1091.0,0.05954766199899292,0.016698872433399837,0.0,0.04687178179464294,0.05622489959839357,0.06968641114982578,0.14942528735632185
brake_diff_abs_max,1091.0,0.998166819431714,0.04279601326351382,0.0,1.0,1.0,1.0,1.0
rpm_diff_mean,1091.0,0.2025619160194971,1.7045051110984788,-7.206106870229007,-0.760132397420533,-0.2694610778443114,0.7887098182049024,6.029850746268656
rpm_diff_std,1091.0,490.24087442350714,74.22008492654948,0.0,435.8307856545316,481.727438159095,530.3548789115335,756.5309774415864
rpm_diff_abs_mean,1091.0,340.03236650890966,67.72019254474587,0.0,287.7778833365001,330.2091503267974,379.01700724111265,583.4673913043479
rpm_diff_abs_max,1091.0,1985.3446379468378,481.0550450261126,0.0,1675.5,1920.0,2189.0,4653.0
speed_cv,1089.0,0.31784796868755816,0.05828621919872273,0.19985783617114677,0.2714041539753742,0.30709330730454126,0.3580738772434361,0.44993511430559646
rpm_cv,1089.0,0.1252809300699905,0.03060139936773393,0.06227159349125614,0.09986130029201974,0.12232565071271208,0.14827879198187427,0.1977558598693628
sector_sum_seconds,1091.0,83.29686892758936,9.76922191356946,64.268,75.661,84.105,90.46950000000001,127.31199999999998
sector1_share,1091.0,0.31001276568693503,0.04502558467522833,0.20320115459234372,0.26972614835436204,0.31981411534099047,0.3500782409459582,0.37287263244578644
sector2_share,1091.0,0.38759259209436264,0.055103202743657785,0.22302876327012067,0.33900562589494065,0.39855223197570405,0.4299999487915738,0.5142428361082796
sector3_share,1091.0,0.3023946422187024,0.05390134885667794,0.1974719664712308,0.2661551604334309,0.2940466112245406,0.33059293834449843,0.4376793634229063
speed_p10,1091.0,120.58460128322639,23.79100480120524,0.0,103.0,120.30000000000001,138.75,180.5
speed_p25,1091.0,164.75595783684693,33.92015160129892,0.0,140.125,160.75,197.0,229.25
speed_p75,1091.0,278.3576993583868,25.52381906666915,0.0,269.0,279.0,293.375,326.0
speed_p90,1091.0,305.7890925756187,22.44715261977471,0.0,294.0,310.0,319.70000000000005,343.0
throttle_p10,1091.0,0.4203483043079745,1.7392417064442758,0.0,0.0,0.0,0.0,18.0
throttle_p25,1091.0,44.38428047662695,27.81278463060498,0.0,23.0,44.25,65.0,100.0
throttle_p75,1091.0,99.56003666361137,4.556960358076045,0.0,100.0,100.0,100.0,100.0
throttle_p90,1091.0,99.64665444546287,4.407565981305905,0.0,100.0,100.0,100.0,100.0
brake_p90,1091.0,0.9908340971585701,0.09131225272036403,0.0,1.0,1.0,1.0,1.0
